	ARX	ASCL1	ASCL2	E2F7	FEV	FOXD4L5	FOXP2	HIC1	MAFA	PAX4	PBX3	SOX4	TFCP2L1	ZFP69B	ZNF519	ZNF846
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	CAMK2B MPP2 PRKCG RGS4 SNAP25 STX1A SYN1 TUBB2B	ADCY1 ASIC1 NTRK2 SORCS2		BAIAP3 BRSK1 CELF4 CNIH2 LRFN2 SCT SNAP25 SYN1 SYP	AGT BAIAP3 CACNA2D2 CACNB2 CELF4 CHRNA5 CPLX2 CRH GIP HAP1 LRFN2 MAP1A MAP1B PCDH17 PRKCG RGS4 STXBP5L SYP	ADCY1 CHRNA5 EPHA4 HAP1 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP STX1A STXBP5L	ADCY1 CELF4 NPTX2 PRKCG STX1A STXBP5L	CELF4 EFNB3 NTRK2 SCT	ADCY1 CACNA2D2 LZTS1 TUBB2B	ADORA2A BRSK1 GRIK5 NTRK2 SNAP25 SORCS2	AGT ASIC1 BAIAP3 BRSK1 CACNA1A CHRNA5 CNIH2 CPLX2 EFNB3 FABP5 FGF14 GIP GRIK5 HAP1 MAP1A MAP1B MPP2 RAB26 RGS4 SCGN SNAP25 STX1A STXBP5L SYP TUBB2B VGF	ADORA2A AGT BAIAP3 BRSK1 GHRL LRFN2 MPP2 NPTX2 NTRK2 RAB26 SCT SYN1 VGF	CRH RGS4 SCT TAC1 VGF	CPLX2 CRH GRIK5 NCS1 SYP	AGT CAMK2B CNIH2 EFNB3 FGF14 GRIN1 LZTS1 MAP1A MPP2 SCGN SYP VGF
GO_SIGNAL_RELEASE	BRSK2 FZD4 PRKCG SLC30A8 SNAP25 SPP1 STX1A SYN1 UCN3	ABCC4 ADCY1 ASIC1 CADPS FFAR2 FZD4 PTPRN2 STX2		BAIAP3 BRSK1 BRSK2 CACNA1C KCNJ11 LIN7A RAPGEF4 RFX6 SCT SNAP25 SYN1 SYP	AGT BAIAP3 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CPE CPLX2 CRH GIP PRKCG PTPRN SFRP1 SLC30A8 STXBP5L SV2A SYP UCN3	ADCY1 CACNA1E CHRNA5 FFAR2 PTPRN2 UCN3 UNC13A	ADCY1 ADCY5 CHRNA3 CHRNA5 CHRNB2 GIP STX1A STXBP5L	ADCY1 AIF1 CHGA PRKCG STX1A STXBP5L SYT5	ABCC4 AIF1 CACNA1C CACNA1E CHGA PTPRN SCT SLC30A8	ADCY1 CACNA1E CACNA2D2 CADPS ITPR1 PTPRN2	ADORA2A BRSK1 GRIK5 ISL1 LIN7A SNAP25 STX2	ABCC8 AGT ASIC1 BAIAP3 BRSK1 CACNA1A CACNA1C CHGA CHRNA5 CPLX2 FFAR1 FZD4 GIP GRIK5 ISL1 SCG5 SNAP25 SPP1 STX1A STX2 STXBP5L SV2A SYP UCN3 VGF	ADORA2A AGT AIF1 BAIAP3 BRSK1 CACNA1C CPE CXCL12 GHRL ISL1 NEUROD1 PTPRN RFX6 SCG5 SCT SYN1 VGF	CRH SCT TAC1 VGF	AIF1 CPE CPLX2 CRH GRIK5 NCS1 SYP	AGT AIF1 ITPR1 KCNJ11 SYP VGF
GO_SOMATODENDRITIC_COMPARTMENT	CHRM4 FZD4 KCNB2 KCNJ2 MPP2 PRKCG SEZ6 SLC8A1 SNAP25 SRCIN1 SYN1	ELFN1 FZD4 LHFPL4 NTRK2 PCSK2 SAMD14 SCN1B SLC25A27 SORCS2	ATP1A3 ELFN1 FZD4 KCNB2 KCNJ2	CACNA1C CDK5R1 CNGA3 CNIH2 DNER KCNIP3 KCNJ11 KCNN3 MAP2 MAP6 PSD RTN4RL1 SLC12A5 SNAP25 SYN1	ARHGAP33 BSN CACNA1C CHRM4 CNGA3 CPLX2 CRH FRMPD4 GIP HAP1 KCNB2 KCNC1 KCNJ2 KIF5A KIRREL3 KNDC1 MAP1A MAP1B MAST1 PCSK2 PRKCG PSD PTPRN RET SAMD14 SCN1B SLC25A27 SLC8A1 SRCIN1 SST SV2A USH2A	ATP1A3 BRS3 CRMP1 DDC EPHA4 HAP1 SST	CHRNA3 GIP KCNC1 RTN4RL1 SEZ6L STMN2 TUBB4A	AIF1 DNER MAP6 PRKCG SYT5	AIF1 CACNA1C NTRK2 PTPRN RTN4RL1 SEZ6L SST	KIF1A LZTS1 TTLL7 USH2A	ADORA2A ARHGAP33 GRIK5 KIF1A KIRREL3 NTRK2 SNAP25 SORCS2 SPTBN4 SST USH2A	ADCY2 ARHGAP33 ATP1A3 BRS3 BSN CACNA1A CACNA1C CHL1 CNIH2 CPLX2 DNER FRMPD4 FZD4 GIP GNAO1 GRIK5 HAP1 KCNB2 KCNIP3 KCNN3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP6 MAPK10 MPP2 NFASC PALMD PCSK2 PSD RET SAMD14 SCGN SCN1B SEZ6 SEZ6L SLC12A5 SNAP25 SPTBN4 SRCIN1 SV2A UCHL1 USH2A	ADCY2 ADORA2A AIF1 CACNA1C CNGA3 DDC KIRREL3 MAP6 MPP2 NTRK2 P2RX6 PCSK2 PTPRN SEZ6 SYN1 UCHL1	CRH SCN1B TAC1 USH2A	AIF1 ARHGAP33 ATP1A3 CHRM4 CPLX2 CRH GRIK5 KNDC1 MAST1 NCS1 SPTBN4	AIF1 BRS3 CNIH2 CPT1C GRIN1 KCNJ11 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 P2RX6 RET SCGN SCN1B SEZ6
GO_SYNAPSE	C1QL1 CAMK2B CHRM4 FZD4 IGSF21 KCNJ2 MPP2 NEFL PRKCG SEZ6 SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SV2B SYN1 TUBB2B UCN3	ADCY1 ASIC1 CACNA1G CADPS ELFN1 FXYD6 FZD4 GPC2 KCNAB2 LHFPL4 NTRK2 PTPRN2 RIMBP2 SAMD14 SDK1 SORCS2 STX2	ATP1A3 ELFN1 FZD4 GRIN2C KCNJ2 SV2B	BAIAP3 BRSK1 C1QL1 CACNA1C CADM2 CDK5R1 CNIH2 DSCAML1 FXYD6 KCNIP3 KCTD16 LGI3 LIN7A LRFN2 MAP2 PDE2A PSD RAPGEF4 SLC12A5 SNAP25 SVOP SYN1 SYP	ANK2 ARHGAP33 ATP6V1G2 BAIAP3 BSN CACNA1C CACNA1E CACNB2 CALY CHRM4 CHRNA5 CPLX2 CRH FRMPD4 FXYD6 GPC2 HAP1 KCNC1 KCNJ2 KCNJ3 KIF5A KIRREL3 LGI3 LRFN2 MAP1A MAP1B PCDH17 PDE2A PRKCG PSD PTPRN RIMBP2 SAMD14 SLC6A17 SLC8A1 SRCIN1 SST STXBP5L SV2A SV2B SVOP SYP TMOD2 UCN3 USH2A	ADCY1 ATP1A3 ATP6V1G2 BAALC CACNA1E CACNA1G CHRNA5 DDC EPHA4 GABBR2 GABRB3 GABRG2 HAP1 IGSF21 KCNK3 PTPRN2 RAB3C RGS9 SST TMOD2 UCN3 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 KCNC1 RIMBP2 SHC3 SLC18A1 STX1A STXBP5L TMOD2	ADCY1 NPTX2 PRKCG STX1A STXBP5L SYT5	CACNA1C CACNA1E CACNA1G CADM3 EFNB3 LGI3 NPY NTRK2 PTPRN SST SV2B	ADCY1 CACNA1E CACNA1G CADPS ITPR1 KCNK3 KIF1A LZTS1 PTPRN2 RAB3C TUBB2B USH2A	ADORA2A AMPH ARHGAP33 BAALC BRSK1 CACNA1G CAMKV GRIK5 KCNAB2 KIF1A KIRREL3 LIN7A NPY NTRK2 SNAP25 SORCS2 SST STX2 USH2A	AMPH ANK2 ARHGAP33 ASIC1 ATP1A3 ATP6V1G2 BAALC BAIAP3 BRSK1 BSN CACNA1A CACNA1C CAMKV CHRNA5 CNIH2 CPLX2 EFNB3 FABP5 FRMPD4 FZD4 GABRA1 GPC6 GRIK5 HAP1 IGSF21 KCNIP3 KCNJ3 KCNMA1 KIF5A KIRREL3 LGI3 LRRTM3 LY6H MAP1A MAP1B MAP2 MAPK10 MPP2 NTS PALMD PDZRN3 PSD RAB26 RAB3C SAMD14 SCGN SEZ6 SHC3 SLC12A5 SLC18A1 SNAP25 SRCIN1 STX1A STX2 STXBP5L SV2A SV2B SVOP SYP TUBB2B UCN3 USH2A	ADORA2A BAALC BAIAP3 BRSK1 C1QL1 CACNA1C CACNA1G CALY DDC DSCAML1 GABRA1 GHRL GPC2 KCNK3 KIRREL3 LRFN2 MPP2 NPTX2 NTRK2 P2RX6 PTPRN RAB26 SDK2 SEZ6 SVOP SYN1	CRH GPC6 TAC1 USH2A	ARHGAP33 ATP1A3 C1QL1 CHRM4 CPLX2 CRH DACT1 GRIK5 LGI3 NCS1 SYP	CADM3 CAMK1 CAMK2B CNIH2 CPT1C EFNB3 GRIN1 ITPR1 LZTS1 MAP1A MAPK8IP1 MPP2 P2RX6 PDE2A SCGN SEZ6 SYP
GO_SYNAPTIC_SIGNALING	CAMK2B CHRM4 MPP2 PRKCG RGS4 SEZ6 SNAP25 STX1A SV2B SYN1 TUBB2B	ADCY1 ASIC1 CACNA1G CADPS NTRK2 PTPRN2 RIMBP2 SORCS2 STX2		BAIAP3 BRSK1 CDK5R1 CELF4 CNIH2 LIN7A LRFN2 SCT SLC12A5 SNAP25 SYN1 SYP	AGT BAIAP3 BSN CACNA1E CACNA2D2 CACNB2 CELF4 CHRM4 CHRNA5 CPLX2 CRH GIP HAP1 KIF5A LRFN2 MAP1A MAP1B PCDH17 PRKCG RGS4 RIMBP2 SST STXBP5L SV2A SV2B SYP TMOD2	ADCY1 CACNA1E CACNA1G CHRNA5 EPHA4 GABBR2 GABRB3 GABRG2 HAP1 KCNK3 PTPRN2 SST TMOD2 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP RIMBP2 SHC3 STX1A STXBP5L TMOD2	ADCY1 CELF4 NPTX2 PRKCG STX1A STXBP5L SYT5	CACNA1E CACNA1G CELF4 EFNB3 NPY NTRK2 SCT SST SV2B	ADCY1 CACNA1E CACNA1G CACNA2D2 CADPS KCNK3 LZTS1 PTPRN2 TUBB2B	ADORA2A AMPH BRSK1 CACNA1G GRIK5 LIN7A NPY NTRK2 SNAP25 SORCS2 SST STX2	AGT AMPH ASIC1 BAIAP3 BRSK1 BSN CACNA1A CHRNA5 CNIH2 CPLX2 EFNB3 FABP5 FGF14 GABRA1 GIP GRIK5 HAP1 KIF5A LY6H MAP1A MAP1B MPP2 RAB26 RGS4 SCGN SEZ6 SHC3 SLC12A5 SNAP25 STX1A STX2 STXBP5L SV2A SV2B SYP TUBB2B VGF	ADORA2A AGT BAIAP3 BRSK1 CACNA1G GABRA1 GHRL KCNK3 LRFN2 MPP2 NPTX2 NTRK2 P2RX6 RAB26 SCT SEZ6 SYN1 VGF	CRH RGS4 SCT TAC1 VGF	CHRM4 CPLX2 CRH GRIK5 NCS1 SYP	AGT CAMK2B CNIH2 EFNB3 FGF14 GRIN1 LZTS1 MAP1A MPP2 P2RX6 SCGN SEZ6 SYP VGF
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	PRKCG SNAP25 STX1A SYN1	ADCY1 CADPS STX2		SNAP25 SYN1 SYP	CACNB2 CHRNA5 CPLX2 PRKCG STXBP5L SV2A SYP	ADCY1 CHRNA5 UNC13A	ADCY1 CHRNA5 CHRNB2 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP5L SYT5		ADCY1 CADPS	ADORA2A GRIK5 SNAP25 STX2	CHRNA5 CPLX2 GRIK5 SNAP25 STX1A STX2 STXBP5L SV2A SYP			CPLX2 GRIK5 NCS1 SYP	
GO_SYNAPTIC_VESICLE_LOCALIZATION	BRSK2 SYN1			AP3B2 BRSK1 BRSK2 CNIH2 LIN7A MAP2 SYN1	KIF5A PCDH17						BRSK1 LIN7A	BRSK1 CNIH2 KIF5A MAP2	BRSK1 SYN1			
GO_SYNAPTIC_VESICLE_MEMBRANE	SLC18A1 STX1A SV2B SYN1			SVOP SYN1 SYP	ATP6V1G2 BSN SLC6A17 SV2A SV2B SVOP SYP	ATP6V1G2 PTPRN2 RAB3C UNC13A	SLC18A1 STX1A	STX1A SYT5		PTPRN2 RAB3C		AMPH ATP6V1G2 BSN RAB26 RAB3C SLC18A1 STX1A SV2A SV2B SVOP SYP	RAB26 SVOP SYN1			
GO_TRANSMEMBRANE_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN NEFL PEX5L RGS4 S100A1 SLC18A1 SLC30A8 SLC8A1 SNAP25 SV2B UNC79	ABCC4 ASIC1 CACNA1G FXYD6 KCNAB2 KCNMB2 SCN1B SLC25A27 SLC7A2	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17 SV2B	CACNA1C CNGA3 CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 KCNN3 NR4A3 SLC12A5 SLC14A1 SNAP25 SVOP UNC79 WNK3	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CLCA4 CNGA3 CNGA4 CRH FXYD6 GIP HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN NR4A3 RGS4 SCN1B SCN3B SLC14A1 SLC16A12 SLC25A27 SLC26A7 SLC30A8 SLC6A17 SLC7A14 SLC8A1 SV2A SV2B SVOP TRPM3 UNC79 UNC80 WNK3	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CHRNA5 CLCA1 GABRB3 GABRG2 HAP1 HECW2 KCNE4 KCNK3 RGS9	CHRNA3 CHRNA5 CHRNB2 CLCA4 GIP HECW2 KCNC1 KCNE4 S100A1 SLC18A1 UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 SLC16A12		ABCC8 AGT ANK2 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CHRNA5 CLCA4 CNIH2 DPP10 FABP5 FGF14 GABRA1 GIP GRIK5 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN PEX5L RGS4 S100A1 SCN1B SLC12A5 SLC14A1 SLC16A12 SLC18A1 SLC7A14 SNAP25 SV2A SV2B SVOP TRPM3 UNC80	AGT ASIC4 CACNA1C CACNA1G CNGA3 FXYD1 GABRA1 GSTM2 KCNH2 KCNJ6 KCNK3 P2RX6 SLC14A1 SLC7A14 SVOP	CRH RGS4 S100A1 SCN1B		AGT CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC30A8 SLC8A1 SNAP25 SV2B SYN1	ABCC4 ASIC1 CACNA1G KCNAB2 KCNMB2 SCN1B SLC7A2	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17 SV2B	CACNA1C CNGA3 FXYD1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SLC14A1 SNAP25 SVOP SYN1	ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CLCA4 CNGA3 CNGA4 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B SLC14A1 SLC16A12 SLC26A7 SLC30A8 SLC6A17 SLC7A14 SLC8A1 SV2A SV2B SVOP TRPM3 UNC80	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CHRNA5 CLCA1 GABRB3 GABRG2 KCNE4 KCNK3	CHRNA3 CHRNA5 CHRNB2 CLCA4 KCNC1 KCNE4 SLC18A1 UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 SLC16A12		ABCC8 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CHRNA5 CLCA4 FABP5 GABRA1 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN SCN1B SLC12A5 SLC14A1 SLC16A12 SLC18A1 SLC7A14 SNAP25 SV2A SV2B SVOP TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CNGA3 FXYD1 GABRA1 KCNH2 KCNJ6 KCNK3 P2RX6 SLC14A1 SLC7A14 SVOP SYN1			FAM155B GRIN1 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_TRANSPORTER_COMPLEX	KCNB2 KCNJ2 SNAP25 STX1A	CACNA1G KCNAB2 KCNMB2 SCN1B	ATP1A3 FXYD1 GRIN2C KCNB2 KCNJ2	CACNA1C CNGA3 CNIH2 FXYD1 KCNIP3 KCNJ11 SNAP25	CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CNGA3 KCNB2 KCNC1 KCNJ2 KCNJ3 SCN1B SCN3B UNC80	ATP1A3 CACNA1E CACNA1G CHRNA5 GABRB3 GABRG2 KCNE4	CHRNA3 CHRNA5 CHRNB2 KCNC1 KCNE4 STX1A UNC80		CACNA1C CACNA1E CACNA1G	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ATP1A3 CACNA1A CACNA1C CHRNA5 CNIH2 DPP10 GABRA1 GRIK5 HCN4 KCNB2 KCNIP3 KCNJ3 KCNMA1 KCNMB2 SCN1B SNAP25 STX1A UNC80	CACNA1C CACNA1G CNGA3 FXYD1 GABRA1 KCNH2 KCNJ6			CNIH2 CPT1C GRIN1 HCN4 KCNH2 KCNJ11 SCN1B SCN3B
GO_TRANSPORT_VESICLE	SCG3 SLC18A1 SLC30A8 SNAP25 STX1A SV2B SYN1		CCDC88A SV2B	BRSK1 CNIH2 LGI3 MAP6 SCG3 SNAP25 SVOP SYN1 SYP	ATP6V1G2 BSN CCDC88A CPE HAP1 KIRREL3 LGI3 NCALD PCSK2 PTPRN SLC30A8 SLC6A17 SV2A SV2B SVOP SYP	ATP6V1G2 DDC HAP1 PTPRN2 RAB3C UNC13A	NCALD SLC18A1 STX1A	CHGA MAP6 STX1A SYT5	CHGA LGI3 PCSK1 PTPRN SLC30A8 SV2B	ITPR1 KIF1A PTPRN2 RAB3C	AMPH BRSK1 KIF1A KIRREL3 SNAP25 STX2	AMPH ATP6V1G2 BGN BRSK1 BSN CCDC88A CHGA CNIH2 HAP1 KIRREL3 LGI3 MAP6 NTS PCSK1 PCSK2 RAB26 RAB3C SCGN SLC18A1 SNAP25 STX1A STX2 SV2A SV2B SVOP SYP VGF	BGN BRSK1 CPE DDC KIRREL3 MAP6 PCSK1 PCSK2 PTPRN RAB26 SVOP SYN1 VGF		CPE LGI3 SYP	CNIH2 GRIN1 ITPR1 MAP6 SCG3 SCGN SYP VGF
GO_TRANSPORT_VESICLE_MEMBRANE	SCG3 SLC18A1 SLC30A8 STX1A SV2B SYN1			CNIH2 MAP6 SCG3 SVOP SYN1 SYP	ATP6V1G2 BSN CPE NCALD PTPRN SLC30A8 SLC6A17 SV2A SV2B SVOP SYP	ATP6V1G2 PTPRN2 RAB3C UNC13A	NCALD SLC18A1 STX1A	MAP6 STX1A SYT5	PTPRN SLC30A8 SV2B	ITPR1 PTPRN2 RAB3C		AMPH ATP6V1G2 BSN CNIH2 MAP6 RAB26 RAB3C SCGN SLC18A1 STX1A SV2A SV2B SVOP SYP	CPE MAP6 PTPRN RAB26 SVOP SYN1		CPE SYP	CNIH2 ITPR1 MAP6 SCG3 SCGN SYP
GO_T_TUBULE	KCNJ2 SLC8A1		FXYD1 KCNJ2	CACNA1C FXYD1 KCNJ11	ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SLC8A1							ANK2 CACNA1C KCNJ3 SCN1B	CACNA1C FXYD1			KCNJ11 SCN1B
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	BRSK2 PRKCG SLC18A1 SNAP25 STX1A SYN1	ADCY1 CADPS STX2		BRSK1 BRSK2 CDK5R1 RAPGEF4 SNAP25 SYN1 SYP	BSN CACNB2 CALY CHRNA5 CPLX2 PCDH17 PRKCG STXBP5L SV2A SYP	ADCY1 CHRNA5 DDC UNC13A	ADCY1 CHRNA5 CHRNB2 SLC18A1 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP5L SYT5		ADCY1 CADPS	ADORA2A AMPH BRSK1 GRIK5 SNAP25 STX2	AMPH BRSK1 BSN CHRNA5 CPLX2 FGF14 GRIK5 MAPK10 SLC18A1 SNAP25 STX1A STX2 STXBP5L SV2A SYP	ADORA2A BRSK1 CALY DDC SYN1		CPLX2 GRIK5 NCS1 SYP	
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	KCNB2 KCNJ2 SNAP25	CACNA1G KCNAB2	GRIN2C KCNB2 KCNH7 KCNJ2	CACNA1C KCNH8 KCNJ11 SNAP25	CACNA1C CACNA1E CACNA2D2 CACNB2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNT2	CACNA1E CACNA1G KCNE4 KCNK3	KCNC1 KCNE4		CACNA1C CACNA1E CACNA1G	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 KCNH6 KCNK3	CACNA1G KCNAB2 KCNE4 SNAP25	ABCC8 CACNA1A CACNA1C HCN4 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 SNAP25	CACNA1C CACNA1G KCNH2 KCNJ6 KCNK3			GRIN1 HCN4 KCNH2 KCNJ11
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SNAP25	CACNA1G KCNAB2 SCN1B	GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C KCNH8 KCNIP3 KCNJ11 SNAP25	CACNA1C CACNA1E CACNA2D2 CACNB2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B	CACNA1E CACNA1G KCNE4 KCNK3	KCNC1 KCNE4		CACNA1C CACNA1E CACNA1G	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 KCNH6 KCNK3	CACNA1G KCNAB2 KCNE4 SNAP25	ABCC8 CACNA1A CACNA1C HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 NALCN SCN1B SNAP25	CACNA1C CACNA1G KCNH2 KCNJ6 KCNK3			GRIN1 HCN4 KCNH2 KCNJ11 SCN1B SCN3B
