PeakID (cmd=annotatePeaks.pl NEUROD1_72hpi_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-2517	chr11	1563550	1563847	+	0	NA	Intergenic	Intergenic	29803	NM_004420	1850	Hs.41688	NM_004420	ENSG00000184545	DUSP8	C11orf81|HB5|HVH-5|HVH8	dual specificity phosphatase 8	protein-coding
1-2868	chr11	117652406	117652703	+	0	NA	intron (NM_001367905, intron 1 of 6)	intron (NM_001367905, intron 1 of 6)	15377	NM_001367904	57453	Hs.659513	NM_020693	ENSG00000177103	DSCAML1	DSCAM2	DS cell adhesion molecule like 1	protein-coding
1-62	chr20	22504388	22504685	+	0	NA	Intergenic	Intergenic	54744	NR_001558	140828	Hs.9842	NR_001558	ENSG00000259974	LINC00261	ALIEN|C20orf56|DEANR1|FALCOR|HCCDR1|NCRNA00261|TCONS_00027846|onco-lncRNA-17	long intergenic non-protein coding RNA 261	ncRNA
1-2087	chr2	8706993	8707290	+	0	NA	non-coding (NR_110257, exon 6 of 6)	non-coding (NR_110257, exon 6 of 6)	16781	NR_110257	101929567	Hs.634706	NR_110257	ENSG00000236008	LINC01814	-	long intergenic non-protein coding RNA 1814	ncRNA
1-428	chr1	203085206	203085503	+	0	NA	Intergenic	Intergenic	-11500	NM_001365066	134	Hs.77867	NM_000674	ENSG00000163485	ADORA1	RDC7	adenosine A1 receptor	protein-coding
1-2516	chr10	135332041	135332338	+	0	NA	Intergenic	LTR22|LTR|ERVK	-8678	NM_000773	1571	Hs.12907	NM_000773	ENSG00000130649	CYP2E1	CPE1|CYP2E|P450-J|P450C2E	cytochrome P450 family 2 subfamily E member 1	protein-coding
1-3705	chr12	63187747	63188044	+	0	NA	intron (NM_020700, intron 3 of 9)	intron (NM_020700, intron 3 of 9)	141035	NM_020700	57460	Hs.435479	NM_020700	ENSG00000111110	PPM1H	ARHCL1|NERPP-2C|URCC2	protein phosphatase, Mg2+/Mn2+ dependent 1H	protein-coding
1-1439	chr1	28177931	28178228	+	0	NA	3' UTR (NM_002713, exon 6 of 6)	3' UTR (NM_002713, exon 6 of 6)	17167	NR_002997	677774	Hs.689694	NR_002997	ENSG00000252947	SCARNA1	ACA35	small Cajal body-specific RNA 1	ncRNA
1-2412	chr4	74716118	74716415	+	0	NA	Intergenic	Tigger3b|DNA|TcMar-Tigger	-2747	NM_002620	5197	Hs.72933	NM_002620	ENSG00000109272	PF4V1	CXCL4L1|CXCL4V1|PF4-ALT|PF4A|SCYB4V1	platelet factor 4 variant 1	protein-coding
1-180	chr9	3879302	3879599	+	0	NA	exon (NM_152629, exon 7 of 10)	exon (NM_152629, exon 7 of 10)	-19196	NR_026663	84850	Hs.676113	NM_032764	ENSG00000237009	GLIS3-AS1	C9orf70	GLIS3 antisense RNA 1	ncRNA
1-1798	chr20	42354002	42354299	+	0	NA	TTS (NM_176791)	TTS (NM_176791)	1492	NM_176791	149699	Hs.447626	NM_176791	ENSG00000124196	GTSF1L	C20orf65|FAM112A|dJ1028D15.4	gametocyte specific factor 1 like	protein-coding
1-4386	chr20	17436977	17437274	+	0	NA	intron (NM_001201529, intron 9 of 10)	intron (NM_001201529, intron 9 of 10)	74899	NM_001195	631	Hs.129702	NM_001195	ENSG00000125864	BFSP1	CP115|CP94|CTRCT33|LIFL-H	beaded filament structural protein 1	protein-coding
1-4615	chr7	23038186	23038483	+	0	NA	intron (NM_032581, intron 1 of 10)	intron (NM_032581, intron 1 of 10)	15415	NM_032581	84668	Hs.85603	NM_032581	ENSG00000122591	FAM126A	DRCTNNB1A|HCC|HLD5|HYCC1	family with sequence similarity 126 member A	protein-coding
1-530	chr3	142338049	142338346	+	0	NA	intron (NM_001145319, intron 1 of 15)	intron (NM_001145319, intron 1 of 15)	-4069	NM_002670	5357	Hs.203637	NM_002670	ENSG00000120756	PLS1	-	plastin 1	protein-coding
1-1231	chr16	89504432	89504729	+	0	NA	intron (NR_110932, intron 1 of 2)	L1M5|LINE|L1	7254	NR_110931	101927817	Hs.667942	NR_110931		LOC101927817	-	uncharacterized LOC101927817	ncRNA
1-3813	chr19	18314737	18315034	+	0	NA	promoter-TSS (NR_134910)	promoter-TSS (NR_134910)	-33	NM_002866	5864	Hs.27744	NM_002866	ENSG00000105649	RAB3A	-	RAB3A, member RAS oncogene family	protein-coding
1-2232	chr14	58893724	58894021	+	0	NA	promoter-TSS (NM_001244190)	promoter-TSS (NM_001244190)	88	NM_001304490	26520	Hs.440525	NM_012460	ENSG00000100575	TIMM9	TIM9|TIM9A	translocase of inner mitochondrial membrane 9	protein-coding
1-1532	chr12	78603527	78603824	+	0	NA	intron (NM_001024383, intron 39 of 39)	intron (NM_001024383, intron 39 of 39)	149851	NR_135021	105369860	Hs.156898	NR_135021	ENSG00000258220	LINC02424	-	long intergenic non-protein coding RNA 2424	ncRNA
1-3136	chr5	167466672	167466969	+	0	NA	intron (NM_001080428, intron 3 of 24)	intron (NM_001080428, intron 3 of 24)	-126030	NR_162139	113219458		NR_162139		MIR12125	-	microRNA 12125	ncRNA
1-2315	chrY	17567126	17567423	+	0	NA	Intergenic	LTR22|LTR|ERVK	-651361	NR_046504	100874056	Hs.743197	NR_046504	ENSG00000228787	NLGN4Y-AS1	NLGN4Y-AS|NLGN4YAS	NLGN4Y antisense RNA 1	ncRNA
1-4398	chr20	56176665	56176962	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	18669	NM_001160417	81030	Hs.302123	NM_030776	ENSG00000124256	ZBP1	C20orf183|DAI|DLM-1|DLM1	Z-DNA binding protein 1	protein-coding
1-4468	chr4	2979046	2979343	+	0	NA	intron (NM_001350173, intron 1 of 13)	intron (NM_001350173, intron 1 of 13)	13896	NM_005307	2868	Hs.32959	NM_005307	ENSG00000125388	GRK4	GPRK2L|GPRK4|GRK4a|IT11	G protein-coupled receptor kinase 4	protein-coding
1-961	chr3	51753033	51753330	+	0	NA	TTS (NR_146059)	TTS (NR_146059)	12097	NR_146059	2912	Hs.121510	NM_000839	ENSG00000164082	GRM2	GLUR2|GPRC1B|MGLUR2|mGlu2	glutamate metabotropic receptor 2	protein-coding
1-1603	chr1	45476822	45477119	+	0	NA	promoter-TSS (NR_036510)	promoter-TSS (NR_036510)	26	NM_024602	79654	Hs.525084	NM_024602	ENSG00000126107	HECTD3	-	HECT domain E3 ubiquitin protein ligase 3	protein-coding
1-2460	chr7	65608560	65608857	+	0	NA	intron (NR_024548, intron 5 of 6)	MIR|SINE|MIR	28874	NM_014478	27297	Hs.300684	NM_014478	ENSG00000241258	CRCP	CGRP-RCP|CGRPRCP|RCP|RCP9|RPC9	CGRP receptor component	protein-coding
1-3438	chr1	145437012	145437309	+	0	NA	intron (NM_001351365, intron 70 of 92)	intron (NM_001351365, intron 70 of 92)	-1330	NM_006472	10628	Hs.533977	NM_006472	ENSG00000265972	TXNIP	ARRDC6|EST01027|HHCPA78|THIF|VDUP1	thioredoxin interacting protein	protein-coding
1-640	chr15	75987004	75987301	+	0	NA	intron (NM_001897, intron 1 of 9)	intron (NM_001897, intron 1 of 9)	18037	NM_001897	1464	Hs.513044	NM_001897	ENSG00000173546	CSPG4	HMW-MAA|MCSP|MCSPG|MEL-CSPG|MSK16|NG2	chondroitin sulfate proteoglycan 4	protein-coding
1-2562	chr14	76278386	76278683	+	0	NA	intron (NM_015072, intron 27 of 31)	intron (NM_015072, intron 27 of 31)	150945	NM_015072	23093	Hs.709609	NM_015072	ENSG00000119685	TTLL5	CORD19|KIAA0998|STAMP	tubulin tyrosine ligase like 5	protein-coding
1-3810	chr19	2783471	2783768	+	0	NA	promoter-TSS (NM_003021)	promoter-TSS (NM_003021)	-348	NM_003021	6449	Hs.203910	NM_003021	ENSG00000104969	SGTA	SGT|alphaSGT|hSGT	small glutamine rich tetratricopeptide repeat containing alpha	protein-coding
1-1585	chr19	45607379	45607676	+	0	NA	intron (NM_019121, intron 1 of 12)	intron (NM_019121, intron 1 of 12)	11090	NM_019121	284352	Hs.285363	NM_019121	ENSG00000104866	PPP1R37	LRRC68	protein phosphatase 1 regulatory subunit 37	protein-coding
1-25	chr1	174943790	174944087	+	0	NA	intron (NM_001366446, intron 21 of 25)	intron (NM_001366446, intron 21 of 25)	10023	NM_001243764	9910	Hs.585378	NM_014857	ENSG00000152061	RABGAP1L	HHL|TBC1D18	RAB GTPase activating protein 1 like	protein-coding
1-360	chr4	3311164	3311461	+	0	NA	Intergenic	Intergenic	-4562	NM_198229	6002	Hs.527061	NM_002926	ENSG00000159788	RGS12	-	regulator of G protein signaling 12	protein-coding
1-2172	chr8	38088381	38088678	+	0	NA	promoter-TSS (NM_001362912)	promoter-TSS (NM_001362912)	-480	NM_001362913	23259	Hs.434966	NM_015214	ENSG00000085788	DDHD2	SAMWD1|SPG54|iPLA(1)gamma	DDHD domain containing 2	protein-coding
1-4587	chr22	29188249	29188546	+	0	NA	Intergenic	Intergenic	8163	NM_001079539	7494	Hs.437638	NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding
1-4411	chr22	22062031	22062328	+	0	NA	intron (NR_130910, intron 2 of 4)	MER58A|DNA|hAT-Charlie	27904	NM_013313	29799	Hs.517436	NM_013313	ENSG00000100027	YPEL1	FKSG3	yippee like 1	protein-coding
1-1149	chr1	37804218	37804515	+	0	NA	Intergenic	L3|LINE|CR1	135678	NR_038842	728431	Hs.380738	NR_038842	ENSG00000233621	LINC01137	-	long intergenic non-protein coding RNA 1137	ncRNA
1-2142	chr5	92414310	92414607	+	0	NA	Intergenic	Intergenic	492591	NR_109825	441094	Hs.457407	NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
1-2962	chr19	4584852	4585149	+	0	NA	Intergenic	CpG	-25304	NM_032108	10501	Hs.465642	NM_020241	ENSG00000167680	SEMA6B	SEM-SEMA-Y|SEMA-VIB|SEMAN|semaZ	semaphorin 6B	protein-coding
1-1907	chr6	13379098	13379395	+	0	NA	intron (NM_018988, intron 1 of 1)	intron (NM_018988, intron 1 of 1)	29123	NM_001242630	54438	Hs.484686	NM_018988	ENSG00000145990	GFOD1	ADG-90|C6orf114	glucose-fructose oxidoreductase domain containing 1	protein-coding
1-1492	chr7	69704988	69705285	+	0	NA	intron (NM_015570, intron 4 of 18)	intron (NM_015570, intron 4 of 18)	641675	NM_001127232	26053	Hs.21631	NM_015570	ENSG00000158321	AUTS2	FBRSL2|MRD26	activator of transcription and developmental regulator AUTS2	protein-coding
1-2205	chr11	12702249	12702546	+	0	NA	intron (NM_021961, intron 2 of 12)	intron (NM_021961, intron 2 of 12)	6429	NM_021961	7003	Hs.655331	NM_021961	ENSG00000187079	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	TEA domain transcription factor 1	protein-coding
1-181	chr9	116061256	116061553	+	0	NA	promoter-TSS (NM_001371234)	promoter-TSS (NM_001371234)	-84	NM_145051	138065	Hs.729641	NM_145051	ENSG00000165188	RNF183	-	ring finger protein 183	protein-coding
1-760	chr12	107524986	107525283	+	0	NA	Intergenic	Intergenic	-37807	NM_004075	1407	Hs.151573	NM_004075	ENSG00000008405	CRY1	DSPD|PHLL1	cryptochrome circadian regulator 1	protein-coding
1-2095	chr2	108845048	108845345	+	0	NA	Intergenic	LTR50|LTR|ERVL	-10899	NR_131251	102724774	Hs.626744	NR_131251	ENSG00000225328	LINC01594	TCONS_l2_00015893	long intergenic non-protein coding RNA 1594	ncRNA
1-3478	chr2	147972550	147972847	+	0	NA	Intergenic	Intergenic	628073	NR_026904	728773	Hs.334462	NR_026904		PABPC1P2	PABP2|PABP4|PABPCP2|PABPCP4	poly(A) binding protein cytoplasmic 1 pseudogene 2	pseudo
1-4336	chr17	40770520	40770817	+	0	NA	Intergenic	Intergenic	8967	NM_001070	7283	Hs.279669	NM_001070	ENSG00000131462	TUBG1	CDCBM4|GCP-1|TUBG|TUBGCP1	tubulin gamma 1	protein-coding
1-3562	chr6	215935	216232	+	0	NA	Intergenic	MIR|SINE|MIR	-10599	NR_126020	285766	Hs.657946	NR_126020	ENSG00000263667	LOC285766	-	uncharacterized LOC285766	ncRNA
1-1118	chr15	92458350	92458647	+	0	NA	intron (NR_135775, intron 1 of 10)	L2c|LINE|L2	60964	NR_135775	28232	Hs.311187	NM_013272	ENSG00000176463	SLCO3A1	OATP-D|OATP-RP3|OATP3A1|OATPD|OATPRP3|SLC21A11	solute carrier organic anion transporter family member 3A1	protein-coding
1-1444	chr1	56972148	56972445	+	0	NA	intron (NM_003713, intron 5 of 5)	intron (NM_003713, intron 5 of 5)	72940	NM_003713	8613	Hs.405156	NM_003713	ENSG00000162407	PLPP3	Dri42|LPP3|PAP2B|PPAP2B|VCIP	phospholipid phosphatase 3	protein-coding
1-2693	chr2	86620528	86620825	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	-47818	NM_018433	55818	Hs.557425	NM_018433	ENSG00000115548	KDM3A	JHDM2A|JHMD2A|JMJD1|JMJD1A|TSGA	lysine demethylase 3A	protein-coding
1-307	chr3	134125425	134125722	+	0	NA	Intergenic	CpG	-31096	NR_039951	100616281		NR_039951	ENSG00000284561	MIR4788	-	microRNA 4788	ncRNA
1-557	chr11	17824103	17824400	+	0	NA	intron (NR_104040, intron 11 of 11)	L2a|LINE|L2	66756	NM_004976	3746	Hs.552896	NM_004976	ENSG00000129159	KCNC1	EPM7|KV3.1|KV4|NGK2	potassium voltage-gated channel subfamily C member 1	protein-coding
1-4593	chr1	226910036	226910333	+	0	NA	intron (NM_002221, intron 2 of 7)	intron (NM_002221, intron 2 of 7)	16692	NM_002221	3707	Hs.528087	NM_002221	ENSG00000143772	ITPKB	IP3-3KB|IP3K|IP3K-B|IP3KB|PIG37	inositol-trisphosphate 3-kinase B	protein-coding
1-621	chr8	143420931	143421228	+	0	NA	intron (NM_001291931, intron 2 of 10)	intron (NM_001291931, intron 2 of 10)	63464	NM_001366904	203062	Hs.370931	NM_145003	ENSG00000171045	TSNARE1	-	t-SNARE domain containing 1	protein-coding
1-1061	chr3	128777715	128778012	+	0	NA	Intergenic	MLT1E2|LTR|ERVL-MaLR	-1747	NM_000174	2815	Hs.1144	NM_000174	ENSG00000169704	GP9	CD42a|GPIX	glycoprotein IX platelet	protein-coding
1-3468	chr2	85999377	85999674	+	0	NA	intron (NM_032827, intron 2 of 2)	GC_rich|Low_complexity|Low_complexity	11275	NR_106719	102466516		NR_106719	ENSG00000278783	MIR6071	hsa-mir-6071	microRNA 6071	ncRNA
1-1584	chr19	41829586	41829883	+	0	NA	3' UTR (NM_052848, exon 5 of 5)	3' UTR (NM_052848, exon 5 of 5)	13352	NM_001346100	90324	Hs.437497	NM_052848	ENSG00000142039	CCDC97	-	coiled-coil domain containing 97	protein-coding
1-3848	chrX	117814594	117814891	+	0	NA	intron (NM_144658, intron 49 of 52)	intron (NM_144658, intron 49 of 52)	-46827	NM_001560	3597	Hs.496646	NM_001560	ENSG00000131724	IL13RA1	CD213A1|CT19|IL-13Ra|NR4	interleukin 13 receptor subunit alpha 1	protein-coding
1-2070	chr1	48275509	48275806	+	0	NA	intron (NM_001194986, intron 2 of 6)	L2a|LINE|L2	187400	NM_001194986	388630	Hs.61504	NM_001194986	ENSG00000269113	TRABD2B	TIKI2	TraB domain containing 2B	protein-coding
1-3456	chr1	236332386	236332683	+	0	NA	intron (NM_003272, intron 2 of 6)	(TTCGGG)n|Simple_repeat|Simple_repeat	26695	NM_003272	7107	Hs.498160	NM_003272	ENSG00000077585	GPR137B	TM7SF1	G protein-coupled receptor 137B	protein-coding
1-3808	chr18	63582798	63583095	+	0	NA	Intergenic	Intergenic	164698	NM_001362438	1005	Hs.541003	NM_004361	ENSG00000081138	CDH7	CDH7L1	cadherin 7	protein-coding
1-1048	chr1	182248880	182249177	+	0	NA	intron (NR_104175, intron 2 of 2)	intron (NR_104175, intron 2 of 2)	34168	NR_104175	400799	Hs.634884	NR_104175	ENSG00000228918	LINC01344	GS1-122H1.2	long intergenic non-protein coding RNA 1344	ncRNA
1-1604	chr1	53638688	53638985	+	0	NA	Intergenic	MIRb|SINE|MIR	-23660	NM_001330589	1376	Hs.713535	NM_000098	ENSG00000157184	CPT2	CPT1|CPTASE|IIAE4	carnitine palmitoyltransferase 2	protein-coding
1-4018	chr5	55670899	55671196	+	0	NA	Intergenic	Intergenic	106549	NR_104664	102467147	Hs.650177	NR_104664	ENSG00000248727	LINC01948	-	long intergenic non-protein coding RNA 1948	ncRNA
1-927	chr16	11329479	11329776	+	0	NA	Intergenic	Intergenic	20412	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
1-4169	chr9	115231596	115231893	+	0	NA	intron (NM_001350649, intron 3 of 4)	AluJb|SINE|Alu	-17363	NM_001287038	158405	Hs.656619	NM_133465	ENSG00000165185	KIAA1958	-	KIAA1958	protein-coding
1-1141	chr20	14382431	14382728	+	0	NA	intron (NM_001351661, intron 3 of 17)	intron (NM_001351661, intron 3 of 17)	-64266	NM_013281	23767	Hs.41296	NM_013281	ENSG00000125848	FLRT3	HH21	fibronectin leucine rich transmembrane protein 3	protein-coding
1-560	chr12	11737251	11737548	+	0	NA	Intergenic	Intergenic	36435	NR_033890	338817	Hs.733066	NR_033890	ENSG00000247157	LINC01252	-	long intergenic non-protein coding RNA 1252	ncRNA
1-2685	chr1	238419737	238420034	+	0	NA	Intergenic	Intergenic	229432	NR_015407	339535	Hs.532047	NR_015407	ENSG00000215808	LINC01139	LINK-A|LINKA	long intergenic non-protein coding RNA 1139	ncRNA
1-3422	chr1	54422683	54422980	+	0	NA	intron (NM_001256409, intron 3 of 8)	intron (NM_001256409, intron 3 of 8)	10808	NM_001256409	115353	Hs.40094	NM_052940	ENSG00000116212	LRRC42	dJ167A19.4	leucine rich repeat containing 42	protein-coding
1-1768	chr16	87845976	87846273	+	0	NA	Intergenic	Intergenic	22142	NR_106833	102465464		NR_106833	ENSG00000278598	MIR6775	hsa-mir-6775	microRNA 6775	ncRNA
1-2596	chr17	73345220	73345517	+	0	NA	intron (NM_203506, intron 2 of 4)	intron (NM_203506, intron 2 of 4)	56391	NM_002086	2885	Hs.444356	NM_002086	ENSG00000177885	GRB2	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	growth factor receptor bound protein 2	protein-coding
1-2068	chr1	28864790	28865087	+	0	NA	non-coding (NR_030725, exon 13 of 13)	non-coding (NR_030725, exon 13 of 13)	-14591	NR_003109	54952	Hs.533626	NM_017846	ENSG00000180098	TRNAU1AP	PRO1902|SECP43|TRSPAP1	tRNA selenocysteine 1 associated protein 1	protein-coding
1-727	chr3	126183205	126183502	+	0	NA	intron (NR_104249, intron 5 of 8)	intron (NR_104249, intron 5 of 8)	11381	NM_025112	79364	Hs.440049	NM_025112	ENSG00000070476	ZXDC	ZXDL	ZXD family zinc finger C	protein-coding
1-2211	chr11	66487901	66488198	+	0	NA	intron (NM_006946, intron 2 of 36)	intron (NM_006946, intron 2 of 36)	821	NM_006946	6712	Hs.26915	NM_006946	ENSG00000173898	SPTBN2	GTRAP41|SCA5|SCAR14	spectrin beta, non-erythrocytic 2	protein-coding
1-1121	chr16	50536424	50536721	+	0	NA	Intergenic	LTR33|LTR|ERVL	-45735	NM_033119	85407	Hs.187578	NM_033119	ENSG00000140807	NKD1	Naked1	NKD inhibitor of WNT signaling pathway 1	protein-coding
1-1202	chr9	37995028	37995325	+	0	NA	intron (NM_003028, intron 2 of 5)	intron (NM_003028, intron 2 of 5)	74048	NM_003028	6461	Hs.521482	NM_003028	ENSG00000107338	SHB	bA3J10.2	SH2 domain containing adaptor protein B	protein-coding
1-3762	chr15	91576245	91576542	+	0	NA	Intergenic	Intergenic	10541	NR_110104	101926911	Hs.459366	NR_110104	ENSG00000214432	VPS33B-DT	-	VPS33B divergent transcript	ncRNA
1-1545	chr14	91040173	91040470	+	0	NA	intron (NM_001010854, intron 19 of 19)	intron (NM_001010854, intron 19 of 19)	-56768	NR_135274	105370619	Hs.525530	NR_135274		LOC105370619	-	uncharacterized LOC105370619	ncRNA
1-3205	chr9	95188808	95189105	+	0	NA	intron (NM_001286969, intron 4 of 6)	L1MC3|LINE|L1	-2120	NM_005014	4958	Hs.94070	NM_005014	ENSG00000127083	OMD	OSAD|SLRR2C	osteomodulin	protein-coding
1-719	chr1	243876746	243877043	+	0	NA	intron (NM_001370074, intron 2 of 13)	intron (NM_001370074, intron 2 of 13)	129690	NM_181690	10000	Hs.498292	NM_005465	ENSG00000117020	AKT3	MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	AKT serine/threonine kinase 3	protein-coding
1-3947	chr2	224353621	224353918	+	0	NA	Intergenic	Intergenic	113310	NM_003469	7857	Hs.516726	NM_003469	ENSG00000171951	SCG2	CHGC|EM66|SN|SgII	secretogranin II	protein-coding
1-671	chr5	64368707	64369004	+	0	NA	Intergenic	Intergenic	304098	NM_005869	10283	Hs.371372	NM_005869	ENSG00000153015	CWC27	NY-CO-10|RPSKA|SDCCAG-10|SDCCAG10	CWC27 spliceosome associated cyclophilin	protein-coding
1-3493	chr2	233562433	233562730	+	0	NA	intron (NM_001103148, intron 1 of 27)	intron (NM_001103148, intron 1 of 27)	540	NM_001103146	26058	Hs.565319	NM_015575	ENSG00000204120	GIGYF2	GYF2|PARK11|PERQ2|PERQ3|TNRC15	GRB10 interacting GYF protein 2	protein-coding
1-2866	chr11	68198307	68198604	+	0	NA	intron (NM_002335, intron 17 of 22)	intron (NM_002335, intron 17 of 22)	-29765	NM_001352348	55291	Hs.503022	NM_018312	ENSG00000110075	PPP6R3	C11orf23|PP6R3|SAP190|SAPL|SAPLa|SAPS3	protein phosphatase 6 regulatory subunit 3	protein-coding
1-2557	chr13	95313246	95313543	+	0	NA	Intergenic	Intergenic	47346	NR_120417	101927248		NR_120417		LOC101927248	-	uncharacterized LOC101927248	ncRNA
1-2946	chr17	72213177	72213474	+	0	NA	intron (NM_001330453, intron 1 of 13)	intron (NM_001330453, intron 1 of 13)	1556	NM_001330453	94015	Hs.27935	NM_032646	ENSG00000141540	TTYH2	C17orf29	tweety family member 2	protein-coding
1-1739	chr13	110396063	110396360	+	0	NA	Intergenic	Intergenic	15590	NR_103846	101409253	Hs.578072	NR_103846	ENSG00000234854	LINC00676	-	long intergenic non-protein coding RNA 676	ncRNA
1-3345	chr17	72339696	72339993	+	0	NA	intron (NM_153209, intron 5 of 19)	intron (NM_153209, intron 5 of 19)	17479	NM_153209	124602	Hs.372773	NM_153209	ENSG00000196169	KIF19	KIF19A	kinesin family member 19	protein-coding
1-3967	chr3	105452133	105452430	+	0	NA	intron (NM_001321822, intron 9 of 19)	intron (NM_001321822, intron 9 of 19)	134154	NM_001321813	868	Hs.430589	NM_170662	ENSG00000114423	CBLB	Cbl-b|Nbla00127|RNF56	Cbl proto-oncogene B	protein-coding
1-609	chr4	7322144	7322441	+	0	NA	intron (NM_020777, intron 1 of 26)	intron (NM_020777, intron 1 of 26)	10115	NR_039961	100616471		NR_039961	ENSG00000264658	MIR4798	-	microRNA 4798	ncRNA
1-2080	chr1	165924188	165924485	+	0	NA	Intergenic	Intergenic	47178	NR_037431	100500832		NR_037431	ENSG00000283936	MIR3658	-	microRNA 3658	ncRNA
1-811	chr4	146637477	146637774	+	0	NA	intron (NM_001080531, intron 2 of 5)	intron (NM_001080531, intron 2 of 5)	36269	NM_001080531	646603		NM_001080531	ENSG00000237136	C4orf51	-	chromosome 4 open reading frame 51	protein-coding
1-4483	chr5	167155756	167156053	+	0	NA	intron (NM_001368145, intron 1 of 26)	intron (NM_001368145, intron 1 of 26)	-26030	NM_001080428	57451	Hs.631957	NM_001080428	ENSG00000145934	TENM2	ODZ2|TEN-M2|TNM2|ten-2	teneurin transmembrane protein 2	protein-coding
1-3835	chr21	45147638	45147935	+	0	NA	intron (NM_003681, intron 1 of 10)	intron (NM_003681, intron 1 of 10)	8776	NM_003681	8566	Hs.284491	NM_003681	ENSG00000160209	PDXK	C21orf124|C21orf97|HEL-S-1a|PKH|PNK|PRED79	pyridoxal kinase	protein-coding
1-108	chr11	130383198	130383495	+	0	NA	Intergenic	Intergenic	64477	NM_139055	170689	Hs.534221	NM_139055	ENSG00000166106	ADAMTS15	-	ADAM metallopeptidase with thrombospondin type 1 motif 15	protein-coding
1-112	chr17	79924714	79925011	+	0	NA	Intergenic	Intergenic	-5799	NM_178493	147111	Hs.106137	NM_178493	ENSG00000185269	NOTUM	hNOTUM	notum, palmitoleoyl-protein carboxylesterase	protein-coding
1-2133	chr4	113999255	113999552	+	0	NA	intron (NM_001354265, intron 1 of 44)	intron (NM_001354265, intron 1 of 44)	28594	NM_001148	287	Hs.620557	NM_001148	ENSG00000145362	ANK2	ANK-2|LQT4|brank-2	ankyrin 2	protein-coding
1-4195	chr10	107355713	107356010	+	0	NA	Intergenic	AluJr|SINE|Alu	224230	NR_120625	101927549	Hs.556885	NR_120625		LINC02627	-	long intergenic non-protein coding RNA 2627	ncRNA
1-4116	chr8	1960117	1960414	+	0	NA	Intergenic	Intergenic	-32896	NM_003970	9172	Hs.443683	NM_003970	ENSG00000036448	MYOM2	TTNAP	myomesin 2	protein-coding
1-2361	chr2	133307934	133308231	+	0	NA	intron (NM_001508, intron 1 of 1)	Tigger10|DNA|TcMar-Tigger	116798	NR_162099	113218485		NR_162099		MIR9986	-	microRNA 9986	ncRNA
1-4217	chr11	66719383	66719680	+	0	NA	intron (NM_001040716, intron 3 of 22)	intron (NM_001040716, intron 3 of 22)	6323	NM_001040716	5091	Hs.89890	NM_000920	ENSG00000173599	PC	PCB	pyruvate carboxylase	protein-coding
1-2813	chr8	23193560	23193857	+	0	NA	promoter-TSS (NR_038323)	promoter-TSS (NR_038323)	-13	NR_038323	100507156	Hs.661130	NR_038323	ENSG00000253837	LOC100507156	-	uncharacterized LOC100507156	ncRNA
1-2799	chr7	2669941	2670238	+	0	NA	Intergenic	Intergenic	-1531	NM_025250	80727	Hs.440899	NM_025250	ENSG00000136295	TTYH3	-	tweety family member 3	protein-coding
1-1530	chr12	23599735	23600032	+	0	NA	Intergenic	LFSINE_Vert|SINE|SINE	137637	NM_178010	6660	Hs.434948	NM_006940	ENSG00000134532	SOX5	L-SOX5|L-SOX5B|L-SOX5F|LAMSHF	SRY-box transcription factor 5	protein-coding
1-2191	chr9	140260777	140261074	+	0	NA	intron (NR_104598, intron 10 of 10)	intron (NR_104598, intron 10 of 10)	56689	NM_017820	54932	Hs.495553	NM_017820	ENSG00000187609	EXD3	mut-7	exonuclease 3'-5' domain containing 3	protein-coding
1-4413	chr22	39702614	39702911	+	0	NA	Intergenic	Intergenic	7154	NR_000028	116938		NR_000028	ENSG00000209480	SNORD83B	RNU83B|U83B	small nucleolar RNA, C/D box 83B	snoRNA
1-2233	chr14	65764570	65764867	+	0	NA	Intergenic	Intergenic	37183	NR_039857	100616176		NR_039857	ENSG00000266740	MIR4708	mir-4708	microRNA 4708	ncRNA
1-2430	chr5	123463371	123463668	+	0	NA	intron (NR_125774, intron 4 of 5)	intron (NR_125774, intron 4 of 5)	310694	NR_125774	103724389	Hs.582211	NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
