PeakID (cmd=annotatePeaks.pl NEUROD1_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-499	chr11	2232304	2232631	+	0	NA	Intergenic	Intergenic	38174	NR_039834	100616126		NR_039834	ENSG00000265258	MIR4686	-	microRNA 4686	ncRNA
1-144	chr9	117052473	117052800	+	0	NA	intron (NM_032888, intron 47 of 60)	intron (NM_032888, intron 47 of 60)	-32667	NM_000607	5004	Hs.522356	NM_000607	ENSG00000229314	ORM1	AGP-A|AGP1|HEL-S-153w|ORM	orosomucoid 1	protein-coding
1-1078	chr5	132299091	132299418	+	0	NA	promoter-TSS (NM_014423)	promoter-TSS (NM_014423)	72	NM_014423	27125	Hs.519313	NM_014423	ENSG00000072364	AFF4	AF5Q31|CHOPS|MCEF	AF4/FMR2 family member 4	protein-coding
1-561	chr14	105264003	105264330	+	0	NA	Intergenic	Intergenic	-2081	NM_001014431	207	Hs.525622	NM_005163	ENSG00000142208	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	AKT serine/threonine kinase 1	protein-coding
1-891	chr16	1173910	1174237	+	0	NA	Intergenic	Intergenic	-27829	NM_207419	390664	Hs.527853	NM_207419	ENSG00000184471	C1QTNF8	CTRP8|UNQ5829	C1q and TNF related 8	protein-coding
1-1147	chr18	43269468	43269795	+	0	NA	Intergenic	Intergenic	-34515	NM_015865	6563	Hs.101307	NM_015865	ENSG00000141469	SLC14A1	HUT11|HsT1341|JK|RACH1|RACH2|UT-B1|UT1|UTE	solute carrier family 14 member 1 (Kidd blood group)	protein-coding
1-876	chr11	44761805	44762132	+	0	NA	intron (NM_130783, intron 1 of 9)	intron (NM_130783, intron 1 of 9)	13456	NM_130783	90139	Hs.385634	NM_130783	ENSG00000157570	TSPAN18	TSPAN	tetraspanin 18	protein-coding
1-466	chr20	362573	362900	+	0	NA	intron (NM_001301196, intron 1 of 3)	CpG	749	NM_001301193	57761	Hs.516826	NM_021158	ENSG00000101255	TRIB3	C20orf97|NIPK|SINK|SKIP3|TRB3	tribbles pseudokinase 3	protein-coding
1-614	chr9	133305485	133305812	+	0	NA	intron (NM_001291815, intron 83 of 86)	intron (NM_001291815, intron 83 of 86)	-14446	NM_000050	445	Hs.160786	NM_000050	ENSG00000130707	ASS1	ASS|CTLN1	argininosuccinate synthase 1	protein-coding
1-530	chr1	111007768	111008095	+	0	NA	Intergenic	Intergenic	14160	NM_032414	84432	Hs.514793	NM_032414	ENSG00000143125	PROK1	EGVEGF|PK1|PRK1	prokineticin 1	protein-coding
1-998	chr14	59222308	59222635	+	0	NA	Intergenic	Intergenic	-72535	NR_110547	102723742	Hs.232734	NR_110547	ENSG00000258583	LINC01500	-	long intergenic non-protein coding RNA 1500	ncRNA
1-243	chr14	100040384	100040711	+	0	NA	intron (NM_001144995, intron 1 of 5)	intron (NM_001144995, intron 1 of 5)	29997	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
1-42	chr4	121670613	121670940	+	0	NA	intron (NM_001300824, intron 12 of 13)	L1MCc|LINE|L1	173245	NM_001300824	11107	Hs.666782	NM_018699	ENSG00000138738	PRDM5	BCS2|PFM2	PR/SET domain 5	protein-coding
1-576	chr20	58406964	58407291	+	0	NA	intron (NM_183246, intron 7 of 11)	intron (NM_183246, intron 7 of 11)	101565	NM_014258	10388	Hs.202676	NM_014258	ENSG00000196074	SYCP2	SCP-2|SCP2	synaptonemal complex protein 2	protein-coding
1-852	chr6	80314798	80315125	+	0	NA	Intergenic	MLT1G1|LTR|ERVL-MaLR	-26085	NM_031469	83699	Hs.302772	NM_031469	ENSG00000198478	SH3BGRL2	-	SH3 domain binding glutamate rich protein like 2	protein-coding
1-1314	chr3	33700394	33700721	+	0	NA	5' UTR (NM_001207044, exon 1 of 33)	5' UTR (NM_001207044, exon 1 of 33)	614	NM_001207044	23122	Hs.108614	NM_015097	ENSG00000163539	CLASP2	-	cytoplasmic linker associated protein 2	protein-coding
1-1184	chr2	239832417	239832744	+	0	NA	TTS (NM_001271893)	TTS (NM_001271893)	15385	NR_034162	401039	Hs.516791	NM_001001698	ENSG00000227744	LINC01940	-	long intergenic non-protein coding RNA 1940	ncRNA
1-939	chr4	115030122	115030449	+	0	NA	Intergenic	MamGypLTR1c|LTR|Gypsy	-129482	NM_024590	79642	Hs.22895	NM_024590	ENSG00000180801	ARSJ	ASJ	arylsulfatase family member J	protein-coding
1-531	chr1	224688505	224688832	+	0	NA	intron (NM_001322302, intron 2 of 6)	intron (NM_001322302, intron 2 of 6)	66117	NR_136295	149111	Hs.731723	NM_152495	ENSG00000143786	CNIH3	CNIH-3	cornichon family AMPA receptor auxiliary protein 3	protein-coding
1-287	chr7	44078709	44079036	+	0	NA	non-coding (NR_015401, exon 1 of 3)	non-coding (NR_015401, exon 1 of 3)	224	NR_072981	255031	Hs.633978	NR_015401		LINC00957	-	long intergenic non-protein coding RNA 957	ncRNA
1-545	chr7	22473395	22473722	+	0	NA	intron (NM_207342, intron 4 of 4)	intron (NM_207342, intron 4 of 4)	66343	NM_207342	256227	Hs.729825	NM_207342	ENSG00000105889	STEAP1B	-	STEAP family member 1B	protein-coding
1-662	chr2	216500001	216500328	+	0	NA	intron (NR_037195, intron 5 of 9)	L1PA14|LINE|L1	-82602	NR_132383	105373869	Hs.152812	NR_132383		LINC01614	LCAL4	long intergenic non-protein coding RNA 1614	ncRNA
1-383	chr15	42399705	42400032	+	0	NA	Intergenic	Intergenic	-13108	NM_178034	283748	Hs.380225	NM_178034	ENSG00000159337	PLA2G4D	cPLA2delta	phospholipase A2 group IVD	protein-coding
1-1070	chr4	2337528	2337855	+	0	NA	intron (NM_001172659, intron 5 of 12)	intron (NM_001172659, intron 5 of 12)	28850	NM_001172660	57732	Hs.292056	NM_020972	ENSG00000159733	ZFYVE28	LST2|LYST2	zinc finger FYVE-type containing 28	protein-coding
1-1232	chr11	20861857	20862184	+	0	NA	intron (NM_001288714, intron 3 of 18)	MLT1G|LTR|ERVL-MaLR	170888	NM_006157	4745	Hs.657172	NM_006157	ENSG00000165973	NELL1	IDH3GL|NRP1	neural EGFL like 1	protein-coding
1-20	chr16	84877510	84877837	+	0	NA	intron (NM_031476, intron 2 of 14)	intron (NM_031476, intron 2 of 14)	24082	NM_031476	83716	Hs.513779	NM_031476	ENSG00000103196	CRISPLD2	CRISP11|LCRISP2|LGL1	cysteine rich secretory protein LCCL domain containing 2	protein-coding
1-168	chr2	25108655	25108982	+	0	NA	intron (NM_001320613, intron 2 of 21)	L2b|LINE|L2	34288	NM_004036	109	Hs.467898	NM_004036	ENSG00000138031	ADCY3	AC-III|AC3|BMIQ19	adenylate cyclase 3	protein-coding
1-918	chr1	3773730	3774057	+	0	NA	promoter-TSS (NM_001282669)	promoter-TSS (NM_001282669)	62	NM_001282669	1677	Hs.133089	NM_004402	ENSG00000169598	DFFB	CAD|CPAN|DFF-40|DFF2|DFF40	DNA fragmentation factor subunit beta	protein-coding
1-102	chr1	25867529	25867856	+	0	NA	Intergenic	Intergenic	-2384	NM_015627	26119	Hs.590911	NM_015627	ENSG00000157978	LDLRAP1	ARH|ARH1|ARH2|FHCB1|FHCB2	low density lipoprotein receptor adaptor protein 1	protein-coding
1-196	chr17	78157562	78157889	+	0	NA	non-coding (NR_047566, exon 5 of 22)	non-coding (NR_047566, exon 5 of 22)	-3874	NM_052819	79092	Hs.675480	NM_024110	ENSG00000141527	CARD14	BIMP2|CARMA2|PRP|PSORS2|PSS1	caspase recruitment domain family member 14	protein-coding
1-409	chr10	73027385	73027712	+	0	NA	intron (NM_001244889, intron 1 of 15)	intron (NM_001244889, intron 1 of 15)	-49563	NR_038453	728978	Hs.646725	NR_038453	ENSG00000237512	UNC5B-AS1	-	UNC5B antisense RNA 1	ncRNA
1-916	chr22	49535617	49535944	+	0	NA	Intergenic	Intergenic	273198	NR_038944	100128946	Hs.535676	NR_038944	ENSG00000205632	LINC01310	WI2-81516E3.1	long intergenic non-protein coding RNA 1310	ncRNA
1-1166	chr1	25896285	25896612	+	0	NA	Intergenic	Intergenic	26372	NM_015627	26119	Hs.590911	NM_015627	ENSG00000157978	LDLRAP1	ARH|ARH1|ARH2|FHCB1|FHCB2	low density lipoprotein receptor adaptor protein 1	protein-coding
1-819	chr1	21632297	21632624	+	0	NA	intron (NM_001113348, intron 1 of 18)	intron (NM_001113348, intron 1 of 18)	12677	NR_038404	100506801	Hs.663049	NR_038404	ENSG00000231105	LOC100506801	-	uncharacterized LOC100506801	ncRNA
1-1028	chr19	11308268	11308595	+	0	NA	promoter-TSS (NM_001136191)	promoter-TSS (NM_001136191)	-210	NM_001136191	25959	Hs.284208	NM_015493	ENSG00000197256	KANK2	ANKRD25|MXRA3|NPHS16|PPKWH|SIP	KN motif and ankyrin repeat domains 2	protein-coding
1-963	chr9	102614937	102615264	+	0	NA	intron (NM_173200, intron 8 of 8)	intron (NM_173200, intron 8 of 8)	30933	NM_173199	8013	Hs.279522	NM_006981	ENSG00000119508	NR4A3	CHN|CSMF|MINOR|NOR1|TEC	nuclear receptor subfamily 4 group A member 3	protein-coding
1-873	chr11	364490	364817	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	-4846	NM_178537	338707	Hs.148074	NM_178537	ENSG00000182272	B4GALNT4	-	beta-1,4-N-acetyl-galactosaminyltransferase 4	protein-coding
1-739	chr1	25028997	25029324	+	0	NA	Intergenic	Intergenic	-42778	NM_013943	25932	Hs.440544	NM_013943	ENSG00000169504	CLIC4	CLIC4L|H1|MTCLIC|huH1|p64H1	chloride intracellular channel 4	protein-coding
1-527	chr1	32172079	32172406	+	0	NA	Intergenic	Intergenic	-2624	NM_001856	1307	Hs.368921	NM_001856	ENSG00000084636	COL16A1	447AA|FP1572	collagen type XVI alpha 1 chain	protein-coding
1-160	chr10	104420932	104421259	+	0	NA	Intergenic	Intergenic	16843	NM_030912	81603	Hs.336810	NM_030912	ENSG00000171206	TRIM8	GERP|RNF27	tripartite motif containing 8	protein-coding
1-2	chr1	3614525	3614852	+	0	NA	promoter-TSS (NM_001204192)	promoter-TSS (NM_001204192)	78	NM_001204192	7161	Hs.192132	NM_005427	ENSG00000078900	TP73	P73	tumor protein p73	protein-coding
1-69	chr11	762410	762737	+	0	NA	intron (NM_006755, intron 4 of 7)	L1ME1|LINE|L1	14914	NM_001318818	347862	Hs.218362	NM_182612	ENSG00000177225	GATD1	PDDC1	glutamine amidotransferase like class 1 domain containing 1	protein-coding
1-743	chr1	118108454	118108781	+	0	NA	Intergenic	Intergenic	39775	NR_121626	100996263	Hs.202533	NR_121626	ENSG00000236866	LOC100996263	-	uncharacterized LOC100996263	ncRNA
1-999	chr14	68864407	68864734	+	0	NA	intron (NM_001321817, intron 9 of 11)	intron (NM_001321817, intron 9 of 11)	230934	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
1-110	chr2	47452581	47452908	+	0	NA	intron (NR_110207, intron 1 of 2)	intron (NR_110207, intron 1 of 2)	-48669	NM_001305625	805	Hs.468442	NM_001743	ENSG00000143933	CALM2	CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM	calmodulin 2	protein-coding
1-63	chr16	66398347	66398674	+	0	NA	Intergenic	Intergenic	-2084	NM_001795	1003	Hs.76206	NM_001795	ENSG00000179776	CDH5	7B4|CD144	cadherin 5	protein-coding
1-455	chr16	1128436	1128763	+	0	NA	promoter-TSS (NM_001053)	promoter-TSS (NM_001053)	132	NR_027242	146336	Hs.250557	NM_182510	ENSG00000261713	SSTR5-AS1	-	SSTR5 antisense RNA 1	ncRNA
1-39	chr6	36742173	36742500	+	0	NA	intron (NM_020939, intron 10 of 20)	intron (NM_020939, intron 10 of 20)	-17150	NM_001314018	57699	Hs.372129	NM_020939	ENSG00000124772	CPNE5	COPN5|CPN5	copine 5	protein-coding
1-624	chr12	56110872	56111199	+	0	NA	intron (NM_001487, intron 2 of 3)	intron (NM_001487, intron 2 of 3)	959	NR_037657	2647	Hs.94672	NM_001487	ENSG00000135441	BLOC1S1	BLOS1|BORCS1|GCN5L1|MICoA|RT14	biogenesis of lysosomal organelles complex 1 subunit 1	protein-coding
1-1278	chr17	62077022	62077349	+	0	NA	promoter-TSS (NR_126169)	promoter-TSS (NR_126169)	74	NR_126169	400612	Hs.591170	NR_126169	ENSG00000264954	PRR29-AS1	-	PRR29 antisense RNA 1	ncRNA
1-1167	chr1	26799587	26799914	+	0	NA	intron (NM_005517, intron 1 of 5)	CpG	819	NM_005517	3151	Hs.181163	NM_005517	ENSG00000198830	HMGN2	HMG17	high mobility group nucleosomal binding domain 2	protein-coding
1-960	chr9	19570927	19571254	+	0	NA	intron (NM_020344, intron 6 of 9)	intron (NM_020344, intron 6 of 9)	162083	NM_001010887	340485	Hs.41379	NM_001010887	ENSG00000177076	ACER2	ALKCDase2|ASAH3L	alkaline ceramidase 2	protein-coding
1-1308	chr1	116298581	116298908	+	0	NA	intron (NM_001232, intron 1 of 10)	intron (NM_001232, intron 1 of 10)	12682	NM_001232	845	Hs.57975	NM_001232	ENSG00000118729	CASQ2	PDIB2	calsequestrin 2	protein-coding
1-1326	chr6	43815363	43815690	+	0	NA	intron (NR_149142, intron 3 of 3)	intron (NR_149142, intron 3 of 3)	4544	NR_149142	285857	Hs.582798	NR_149142	ENSG00000283215	LINC02537	-	long intergenic non-protein coding RNA 2537	ncRNA
1-687	chr9	3879286	3879613	+	0	NA	exon (NM_152629, exon 7 of 10)	exon (NM_152629, exon 7 of 10)	-19197	NR_026663	84850	Hs.676113	NM_032764	ENSG00000237009	GLIS3-AS1	C9orf70	GLIS3 antisense RNA 1	ncRNA
1-1302	chr22	39635584	39635911	+	0	NA	intron (NM_002608, intron 1 of 6)	intron (NM_002608, intron 1 of 6)	1167	NM_033016	5155	Hs.1976	NM_002608	ENSG00000100311	PDGFB	IBGC5|PDGF-2|PDGF2|SIS|SSV|c-sis	platelet derived growth factor subunit B	protein-coding
1-203	chr2	19172982	19173309	+	0	NA	intron (NR_135287, intron 3 of 3)	intron (NR_135287, intron 3 of 3)	53581	NR_135287	400945	Hs.502854	NR_135287	ENSG00000236204	LINC01376	-	long intergenic non-protein coding RNA 1376	ncRNA
1-118	chr3	46526536	46526863	+	0	NA	promoter-TSS (NM_001321122)	promoter-TSS (NM_001321122)	25	NM_001321122	4057	Hs.529517	NM_002343	ENSG00000012223	LTF	GIG12|HEL110|HLF2|LF	lactotransferrin	protein-coding
1-714	chr17	4348078	4348405	+	0	NA	intron (NM_001320449, intron 2 of 10)	intron (NM_001320449, intron 2 of 10)	11006	NM_001320449	201305	Hs.657543	NM_182538	ENSG00000182557	SPNS3	SLC62A3	sphingolipid transporter 3 (putative)	protein-coding
1-255	chr1	41837945	41838272	+	0	NA	intron (NM_001291281, intron 1 of 2)	intron (NM_001291281, intron 1 of 2)	3233	NR_135817	101929901		NR_135817	ENSG00000229901	LOC101929901	-	uncharacterized LOC101929901	ncRNA
1-778	chr9	110309189	110309516	+	0	NA	Intergenic	Intergenic	-57302	NM_004235	9314	Hs.376206	NM_004235	ENSG00000136826	KLF4	EZF|GKLF	Kruppel like factor 4	protein-coding
1-1036	chr20	47847181	47847508	+	0	NA	intron (NM_017895, intron 9 of 20)	intron (NM_017895, intron 9 of 20)	11512	NM_017895	55661	Hs.65234	NM_017895	ENSG00000124228	DDX27	DRS1|Drs1p|HSPC259|PP3241|RHLP|dJ686N3.1	DEAD-box helicase 27	protein-coding
1-732	chr22	43689775	43690102	+	0	NA	intron (NM_173050, intron 3 of 21)	intron (NM_173050, intron 3 of 21)	17990	NR_134582	101927447	Hs.621227	NR_134582	ENSG00000203527	LOC101927447	-	uncharacterized LOC101927447	ncRNA
1-944	chr5	154850740	154851067	+	0	NA	Intergenic	Intergenic	457588	NM_001099293	285643	Hs.567824	NM_001099293	ENSG00000226650	KIF4B	-	kinesin family member 4B	protein-coding
1-569	chr17	4379726	4380053	+	0	NA	intron (NM_182538, intron 8 of 11)	intron (NM_182538, intron 8 of 11)	-22287	NM_001124758	124976	Hs.22824	NM_001124758	ENSG00000183018	SPNS2	DFNB115|SLC62A2	sphingolipid transporter 2	protein-coding
1-922	chr1	228057601	228057928	+	0	NA	Intergenic	LTR16A1|LTR|ERVL	54346	NM_183062	339501	Hs.97604	NM_183062	ENSG00000185888	PRSS38	MPN2	serine protease 38	protein-coding
1-686	chr8	142411399	142411726	+	0	NA	intron (NM_032611, intron 1 of 5)	intron (NM_032611, intron 1 of 5)	9441	NM_032611	11156	Hs.43666	NM_007079	ENSG00000184489	PTP4A3	PRL-3|PRL-R|PRL3	protein tyrosine phosphatase 4A3	protein-coding
1-1141	chr17	39431984	39432311	+	0	NA	exon (NM_001277332, exon 1 of 1)	exon (NM_001277332, exon 1 of 1)	197	NM_001277332	100505724		NM_001277332	ENSG00000180386	KRTAP9-7	KAP9.7|KRTAP9L1	keratin associated protein 9-7	protein-coding
1-1081	chr5	150829442	150829769	+	0	NA	intron (NM_001308150, intron 1 of 10)	intron (NM_001308150, intron 1 of 10)	2441	NM_001308150	206358	Hs.269004	NM_078483	ENSG00000123643	SLC36A1	Dct1|LYAAT1|PAT1|TRAMD3	solute carrier family 36 member 1	protein-coding
1-755	chr2	235304423	235304750	+	0	NA	Intergenic	Intergenic	58653	NR_146988	105373934	Hs.471685	NR_146988	ENSG00000231682	LINC01891	-	long intergenic non-protein coding RNA 1891	ncRNA
1-505	chr14	65016690	65017017	+	0	NA	intron (NM_172365, intron 1 of 11)	CpG	174	NM_172365	145376	Hs.144696	NM_172365	ENSG00000165807	PPP1R36	C14orf50	protein phosphatase 1 regulatory subunit 36	protein-coding
1-1020	chr17	39279989	39280316	+	0	NA	exon (NM_031854, exon 1 of 1)	exon (NM_031854, exon 1 of 1)	282	NM_031854	83755	Hs.572443	NM_031854	ENSG00000213416	KRTAP4-12	KAP4.12|KRTAP4.12	keratin associated protein 4-12	protein-coding
1-200	chr1	23514084	23514411	+	0	NA	Intergenic	Intergenic	6975	NM_000864	3352	Hs.121482	NM_000864	ENSG00000179546	HTR1D	5-HT1D|HT1DA|HTR1DA|HTRL|RDC4	5-hydroxytryptamine receptor 1D	protein-coding
1-131	chr1	20813575	20813902	+	0	NA	Intergenic	Intergenic	-1035	NM_018584	55450	Hs.731383	NM_018584	ENSG00000162545	CAMK2N1	PRO1489	calcium/calmodulin dependent protein kinase II inhibitor 1	protein-coding
1-16	chr19	49055316	49055643	+	0	NA	promoter-TSS (NM_177973)	promoter-TSS (NM_177973)	50	NM_177973	6820	Hs.369331	NM_004605	ENSG00000088002	SULT2B1	ARCI14|HSST2	sulfotransferase family 2B member 1	protein-coding
1-894	chr16	85384589	85384916	+	0	NA	Intergenic	Intergenic	-44821	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
1-1149	chr19	5581836	5582163	+	0	NA	Intergenic	AluJr|SINE|Alu	-13954	NR_027064	257000	Hs.515575	NM_153375	ENSG00000223573	TINCR	LINC00036|NCRNA00036|PLAC2|onco-lncRNA-16	TINCR ubiquitin domain containing	ncRNA
1-295	chr14	100038833	100039160	+	0	NA	intron (NM_001144995, intron 1 of 5)	intron (NM_001144995, intron 1 of 5)	31548	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
1-51	chr6	160754832	160755159	+	0	NA	Intergenic	Intergenic	-14415	NM_021977	6581	Hs.567337	NM_021977	ENSG00000146477	SLC22A3	EMT|EMTH|OCT3	solute carrier family 22 member 3	protein-coding
1-539	chr4	1201711	1202038	+	0	NA	intron (NR_024569, intron 1 of 3)	intron (NR_024569, intron 1 of 3)	876	NM_001199021	10417	Hs.302963	NM_012445	ENSG00000159674	SPON2	DIL-1|DIL1|M-SPONDIN|MINDIN	spondin 2	protein-coding
1-600	chr3	127214780	127215107	+	0	NA	Intergenic	MER52A|LTR|ERV1	41680	NR_125397	101927149	Hs.407798	NR_125397	ENSG00000239921	LINC01471	-	long intergenic non-protein coding RNA 1471	ncRNA
1-990	chr12	52576311	52576638	+	0	NA	intron (NM_182507, intron 2 of 8)	intron (NM_182507, intron 2 of 8)	9324	NM_001081492	144501	Hs.140978	NM_182507	ENSG00000167767	KRT80	KB20	keratin 80	protein-coding
1-1301	chr22	38699296	38699623	+	0	NA	intron (NM_001894, intron 2 of 10)	intron (NM_001894, intron 2 of 10)	13979	NM_152221	1454	Hs.474833	NM_001894	ENSG00000213923	CSNK1E	CKIe|CKIepsilon|HCKIE	casein kinase 1 epsilon	protein-coding
1-1131	chr16	68263447	68263774	+	0	NA	TTS (NM_004555)	TTS (NM_004555)	3792	NR_106831	102466194		NR_106831	ENSG00000284259	MIR6773	hsa-mir-6773	microRNA 6773	ncRNA
1-1271	chr17	11923853	11924180	+	0	NA	promoter-TSS (NM_003010)	promoter-TSS (NM_003010)	-178	NM_001281435	6416	Hs.514681	NM_003010	ENSG00000065559	MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	mitogen-activated protein kinase kinase 4	protein-coding
1-67	chr4	850045	850372	+	0	NA	intron (NM_005255, intron 24 of 27)	intron (NM_005255, intron 24 of 27)	-30291	NM_006651	10815	Hs.478930	NM_006651	ENSG00000168993	CPLX1	CPX-I|CPX1|EIEE63	complexin 1	protein-coding
1-668	chr3	72456966	72457293	+	0	NA	intron (NM_012234, intron 1 of 3)	intron (NM_012234, intron 1 of 3)	38645	NM_012234	23429	Hs.7910	NM_012234	ENSG00000163602	RYBP	AAP1|APAP-1|DEDAF|YEAF1	RING1 and YY1 binding protein	protein-coding
1-275	chr15	93160767	93161094	+	0	NA	3' UTR (NM_207446, exon 3 of 3)	3' UTR (NM_207446, exon 3 of 3)	38075	NM_207446	400451	Hs.27373	NM_207446	ENSG00000185442	FAM174B	-	family with sequence similarity 174 member B	protein-coding
1-742	chr1	107599988	107600315	+	0	NA	exon (NM_018137, exon 1 of 1)	exon (NM_018137, exon 1 of 1)	855	NM_018137	55170	Hs.26006	NM_018137	ENSG00000198890	PRMT6	HRMT1L6	protein arginine methyltransferase 6	protein-coding
1-811	chr19	56039818	56040145	+	0	NA	TTS (NM_001370096)	TTS (NM_001370096)	8519	NM_001370096	646643	Hs.532676	NM_001101401	ENSG00000187550	SBK2	SGK069	SH3 domain binding kinase family member 2	protein-coding
1-1203	chr5	146863717	146864044	+	0	NA	intron (NM_001197294, intron 1 of 13)	intron (NM_001197294, intron 1 of 13)	25751	NM_001197294	1809	Hs.519659	NM_001387	ENSG00000113657	DPYSL3	CRMP-4|CRMP4|DRP-3|DRP3|LCRMP|ULIP|ULIP-1	dihydropyrimidinase like 3	protein-coding
1-47	chrUn_gl000216	163401	163728	+	0	NA	NA	BSR/Beta|Satellite|Satellite	NA	NA								
1-54	chr19	3387878	3388205	+	0	NA	intron (NM_001245005, intron 2 of 9)	CpG	21460	NM_005597	4782	Hs.170131	NM_005597	ENSG00000141905	NFIC	CTF|CTF5|NF-I|NFI	nuclear factor I C	protein-coding
1-995	chr13	111094397	111094724	+	0	NA	intron (NM_001846, intron 16 of 47)	intron (NM_001846, intron 16 of 47)	21074	NM_001267044	100129836	Hs.640035	NM_001267044		COL4A2-AS2	-	COL4A2 antisense 2	protein-coding
1-727	chr19	51379836	51380163	+	0	NA	non-coding (NR_045762, exon 3 of 5)	non-coding (NR_045762, exon 3 of 5)	3304	NR_045763	3817	Hs.515560	NM_005551	ENSG00000167751	KLK2	KLK2A2|hGK-1|hK2	kallikrein related peptidase 2	protein-coding
1-728	chr21	42886702	42887029	+	0	NA	Intergenic	ERVL-B4-int|LTR|ERVL	-6780	NM_005656	7113	Hs.439309	NM_005656	ENSG00000184012	TMPRSS2	PP9284|PRSS10	transmembrane serine protease 2	protein-coding
1-640	chr17	29862751	29863078	+	0	NA	TTS (NR_039877)	TTS (NR_039877)	1013	NR_039877	100616248		NR_039877	ENSG00000284424	MIR4724	mir-4724	microRNA 4724	ncRNA
1-84	chr10	89378574	89378901	+	0	NA	Intergenic	L2c|LINE|L2	-40898	NM_001015880	9060	Hs.524491	NM_004670	ENSG00000198682	PAPSS2	ATPSK2|BCYM4|SK2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
1-537	chr3	129285871	129286198	+	0	NA	intron (NM_015103, intron 22 of 35)	intron (NM_015103, intron 22 of 35)	18806	NM_001308262	132243	Hs.97358	NM_153833	ENSG00000178804	H1FOO	H1.8|H1oo|osH1	H1 histone family member O oocyte specific	protein-coding
1-1054	chr2	24944352	24944679	+	0	NA	intron (NM_001362952, intron 14 of 23)	intron (NM_001362952, intron 14 of 23)	-71469	NM_024322	79172	Hs.731569	NM_024322	ENSG00000138092	CENPO	CENP-O|ICEN-36|MCM21R	centromere protein O	protein-coding
1-850	chr5	173222607	173222934	+	0	NA	Intergenic	Intergenic	-4825	NR_108028	101928154	Hs.366725	NR_108028		LINC01485	-	long intergenic non-protein coding RNA 1485	ncRNA
1-1220	chr9	37732336	37732663	+	0	NA	intron (NM_001371225, intron 10 of 15)	intron (NM_001371225, intron 10 of 15)	-21301	NM_001286950	158234	Hs.655614	NM_144964	ENSG00000165275	TRMT10B	RG9MTD3|bA3J10.9	tRNA methyltransferase 10B	protein-coding
1-601	chr3	127418466	127418793	+	0	NA	intron (NM_001256585, intron 5 of 6)	intron (NM_001256585, intron 5 of 6)	26834	NM_172027	80325	Hs.107812	NM_032548	ENSG00000114626	ABTB1	BPOZ|BTB3|BTBD21|EF1ABP|PP2259	ankyrin repeat and BTB domain containing 1	protein-coding
1-1050	chr1	151543332	151543659	+	0	NA	intron (NM_020127, intron 7 of 12)	intron (NM_020127, intron 7 of 12)	25223	NR_030280	693139		NR_030280	ENSG00000207606	MIR554	MIRN554|hsa-mir-554	microRNA 554	ncRNA
1-1397	chr21	24130804	24131131	+	0	NA	Intergenic	THE1D|LTR|ERVL-MaLR	-320639	NR_106746	102466967		NR_106746	ENSG00000275469	MIR6130	hsa-mir-6130	microRNA 6130	ncRNA
1-1357	chr17	39421555	39421882	+	0	NA	promoter-TSS (NM_001277331)	promoter-TSS (NM_001277331)	88	NM_001277331	100507608		NM_001277331	ENSG00000212659	KRTAP9-6	KAP9.6|KRTAP9.6|KRTAP9L2	keratin associated protein 9-6	protein-coding
1-1168	chr1	40311198	40311525	+	0	NA	intron (NR_132413, intron 1 of 3)	intron (NR_132413, intron 1 of 3)	37815	NM_017646	54802	Hs.356554	NM_017646	ENSG00000043514	TRIT1	COXPD35|GRO1|IPPT|IPT|IPTase|MOD5|hGRO1	tRNA isopentenyltransferase 1	protein-coding
1-667	chr3	52335015	52335342	+	0	NA	Intergenic	Intergenic	-6854	NR_029677	406925		NR_029677	ENSG00000207926	MIR135A1	MIRN135-1|MIRN135A1|mir-135a-1	microRNA 135a-1	ncRNA
1-467	chr20	9059709	9060036	+	0	NA	intron (NM_001172646, intron 1 of 37)	LTR33|LTR|ERVL	10171	NM_001172646	5332	Hs.472101	NM_000933	ENSG00000101333	PLCB4	ARCND2|PI-PLC	phospholipase C beta 4	protein-coding
1-447	chr10	99591430	99591757	+	0	NA	intron (NR_108035, intron 1 of 2)	L2b|LINE|L2	17962	NR_108035	100505561	Hs.351904	NR_108035	ENSG00000227356	LINC00866	-	long intergenic non-protein coding RNA 866	ncRNA
