PeakID (cmd=annotatePeaks.pl RFX6_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-3367	chr22	44894008	44894461	+	0	NA	promoter-TSS (NM_032287)	promoter-TSS (NM_032287)	-121	NM_032287	84247	Hs.744991	NM_032287	ENSG00000188636	RTL6	LDOC1L|Mar6|Mart6|SIRH3|dJ1033E15.2	retrotransposon Gag like 6	protein-coding
1-1499	chr2	102650347	102650800	+	0	NA	Intergenic	Intergenic	35150	NR_048564	7850	Hs.25333	NM_004633	ENSG00000115590	IL1R2	CD121b|CDw121b|IL-1R-2|IL-1RT-2|IL-1RT2|IL1R2c|IL1RB	interleukin 1 receptor type 2	protein-coding
1-1232	chr17	39781840	39782293	+	0	NA	TTS (NR_033415)	TTS (NR_033415)	-1239	NM_000422	3872	Hs.2785	NM_000422	ENSG00000128422	KRT17	39.1|CK-17|K17|PC|PC2|PCHC1	keratin 17	protein-coding
1-5018	chr9	136027528	136027981	+	0	NA	TTS (NM_001288572)	TTS (NM_001288572)	-3157	NM_001042368	5900	Hs.106185	NM_006266	ENSG00000160271	RALGDS	RGDS|RGF|RalGEF	ral guanine nucleotide dissociation stimulator	protein-coding
1-1685	chr3	197317163	197317616	+	0	NA	Intergenic	Intergenic	-17195	NM_203315	622	Hs.274539	NM_004051	ENSG00000161267	BDH1	BDH|SDR9C1	3-hydroxybutyrate dehydrogenase 1	protein-coding
1-832	chr8	132916344	132916797	+	0	NA	5' UTR (NM_001323555, exon 1 of 23)	5' UTR (NM_001323555, exon 1 of 23)	230	NM_001323558	23167	Hs.204564	NM_015137	ENSG00000132294	EFR3A	-	EFR3 homolog A	protein-coding
1-5895	chr4	87898826	87899279	+	0	NA	intron (NM_001166693, intron 2 of 20)	L2c|LINE|L2	-29088	NM_001313960	4299	Hs.480190	NM_005935	ENSG00000172493	AFF1	AF4|MLLT2|PBM1	AF4/FMR2 family member 1	protein-coding
1-141	chr2	46149646	46150099	+	0	NA	intron (NM_005400, intron 2 of 14)	intron (NM_005400, intron 2 of 14)	271058	NM_005400	5581	Hs.580351	NM_005400	ENSG00000171132	PRKCE	PKCE|nPKC-epsilon	protein kinase C epsilon	protein-coding
1-4772	chr14	54789531	54789984	+	0	NA	Intergenic	Intergenic	-73829	NM_001330173	1033	Hs.84113	NM_005192	ENSG00000100526	CDKN3	CDI1|CIP2|KAP|KAP1	cyclin dependent kinase inhibitor 3	protein-coding
1-1552	chr2	132590393	132590846	+	0	NA	Intergenic	Intergenic	-31385	NR_161366	408029	Hs.145567	NR_161366		C2orf27B	-	chromosome 2 open reading frame 27B	ncRNA
1-667	chr11	26353421	26353874	+	0	NA	promoter-TSS (NM_031418)	promoter-TSS (NM_031418)	-30	NM_031418	63982	Hs.91791	NM_031418	ENSG00000134343	ANO3	C11orf25|DYT23|DYT24|GENX-3947|TMEM16C	anoctamin 3	protein-coding
1-1807	chr5	171234764	171235217	+	0	NA	Intergenic	Intergenic	22114	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
1-1560	chr3	126756069	126756522	+	0	NA	TTS (NM_032242)	TTS (NM_032242)	48858	NM_032242	5361	Hs.432329	NM_032242	ENSG00000114554	PLXNA1	NOV|NOVP|PLEXIN-A1|PLXN1	plexin A1	protein-coding
1-4801	chr17	27044803	27045256	+	0	NA	promoter-TSS (NM_001144942)	promoter-TSS (NM_001144942)	-143	NM_031934	83871	Hs.301853	NM_031934	ENSG00000109113	RAB34	NARR|RAB39|RAH	RAB34, member RAS oncogene family	protein-coding
1-5908	chr5	73056094	73056547	+	0	NA	intron (NM_001177693, intron 4 of 35)	intron (NM_001177693, intron 4 of 35)	-53051	NM_001244364	64283	Hs.482521	NM_001080479	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding
1-3040	chr1	184461202	184461655	+	0	NA	intron (NM_030806, intron 2 of 5)	intron (NM_030806, intron 2 of 5)	105265	NM_030806	81563	Hs.497159	NM_030806	ENSG00000116667	C1orf21	PIG13	chromosome 1 open reading frame 21	protein-coding
1-440	chr14	90989164	90989617	+	0	NA	Intergenic	Intergenic	-5837	NR_135274	105370619	Hs.525530	NR_135274		LOC105370619	-	uncharacterized LOC105370619	ncRNA
1-2941	chr6	90120690	90121143	+	0	NA	intron (NM_021244, intron 1 of 6)	CpG	1076	NM_021244	58528	Hs.31712	NM_021244	ENSG00000025039	RRAGD	RAGD|bA11D8.2.1	Ras related GTP binding D	protein-coding
1-6204	chr7	3134957	3135410	+	0	NA	Intergenic	Intergenic	-51682	NM_001324281	84433	Hs.648101	NM_032415	ENSG00000198286	CARD11	BENTA|BIMP3|CARMA1|IMD11|IMD11A|PPBL	caspase recruitment domain family member 11	protein-coding
1-1396	chr2	208117599	208118052	+	0	NA	intron (NR_110283, intron 1 of 3)	intron (NR_110283, intron 1 of 3)	1215	NR_110283	101927865	Hs.574609	NR_110283		MYOSLID-AS1	-	MYOSLID antisense RNA 1	ncRNA
1-5053	chr11	74292108	74292561	+	0	NA	Intergenic	MLT1M|LTR|ERVL-MaLR	-11293	NR_046410	10714	Hs.82502	NM_006591	ENSG00000077514	POLD3	P66|P68|PPP1R128	DNA polymerase delta 3, accessory subunit	protein-coding
1-6032	chr11	108518546	108518999	+	0	NA	Intergenic	L1M1|LINE|L1	-17024	NM_004398	1662	Hs.591931	NM_004398	ENSG00000178105	DDX10	Dbp4|HRH-J8	DEAD-box helicase 10	protein-coding
1-5434	chr14	90083230	90083683	+	0	NA	intron (NM_001085471, intron 1 of 6)	intron (NM_001085471, intron 1 of 6)	2053	NM_001085471	1112	Hs.434286	NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
1-4836	chr19	40753291	40753744	+	0	NA	intron (NM_001330511, intron 3 of 11)	intron (NM_001330511, intron 3 of 11)	17741	NM_001330511	208	Hs.631535	NM_001626	ENSG00000105221	AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	AKT serine/threonine kinase 2	protein-coding
1-360	chr11	119593117	119593570	+	0	NA	intron (NM_203286, intron 1 of 5)	intron (NM_203286, intron 1 of 5)	6567	NM_002855	5818	Hs.334846	NM_002855	ENSG00000110400	NECTIN1	CD111|CLPED1|ED4|HIgR|HV1S|HVEC|OFC7|PRR|PRR1|PVRL1|PVRR|PVRR1|SK-12|nectin-1	nectin cell adhesion molecule 1	protein-coding
1-823	chr1	169069354	169069807	+	0	NA	Intergenic	MLT1M|LTR|ERVL-MaLR	-3782	NR_135799	101928596	Hs.308463	NR_135799	ENSG00000237707	LOC101928596	-	uncharacterized LOC101928596	ncRNA
1-3039	chr1	154300819	154301272	+	0	NA	promoter-TSS (NM_001367934)	promoter-TSS (NM_001367934)	-229	NM_001367934	57198	Hs.435700	NM_020452	ENSG00000143515	ATP8B2	ATPID	ATPase phospholipid transporting 8B2	protein-coding
1-5037	chr10	123872313	123872766	+	0	NA	5' UTR (NM_001291879, exon 1 of 17)	5' UTR (NM_001291879, exon 1 of 17)	139	NM_001291879	10579	Hs.501252	NM_006997	ENSG00000138162	TACC2	AZU-1|ECTACC	transforming acidic coiled-coil containing protein 2	protein-coding
1-264	chr11	119223670	119224123	+	0	NA	Intergenic	Intergenic	-6481	NM_015645	114902	Hs.632102	NM_015645	ENSG00000223953	C1QTNF5	CTRP5|MFRP	C1q and TNF related 5	protein-coding
1-4887	chr1	159793000	159793453	+	0	NA	Intergenic	Intergenic	-3437	NM_001330741	56833	Hs.438683	NM_020125	ENSG00000158714	SLAMF8	BLAME|CD353|SBBI42	SLAM family member 8	protein-coding
1-875	chr10	74506707	74507160	+	0	NA	intron (NR_073062, intron 3 of 9)	intron (NR_073062, intron 3 of 9)	26146	NR_039823	100616286		NR_039823	ENSG00000266719	MIR4676	-	microRNA 4676	ncRNA
1-2310	chr3	113233824	113234277	+	0	NA	promoter-TSS (NM_001331078)	promoter-TSS (NM_001331078)	-47	NM_144718	152185	Hs.477144	NM_144718	ENSG00000163611	SPICE1	CCDC52|SPICE	spindle and centriole associated protein 1	protein-coding
1-4826	chr19	6403112	6403565	+	0	NA	intron (NM_001321601, intron 1 of 2)	MER102b|DNA|hAT-Charlie	6968	NM_001321601	390877	Hs.715420	NM_001321601		LOC390877	-	adenylate kinase isoenzyme 1-like	protein-coding
1-5181	chrX	105851197	105851650	+	0	NA	Intergenic	Intergenic	-3737	NM_001184782	55086	Hs.274267	NM_018015	ENSG00000147231	RADX	CXorf57	RPA1 related single stranded DNA binding protein, X-linked	protein-coding
1-2661	chr4	186156966	186157419	+	0	NA	intron (NM_001317781, intron 1 of 18)	LTR22A|LTR|ERVK	31801	NM_001317781	83891	Hs.369091	NM_031953	ENSG00000109762	SNX25	MSTP043|SBBI31	sorting nexin 25	protein-coding
1-4582	chr1	27560549	27561002	+	0	NA	promoter-TSS (NM_015023)	promoter-TSS (NM_015023)	-348	NM_015023	23038	Hs.469154	NM_015023	ENSG00000142784	WDTC1	ADP|DCAF9	WD and tetratricopeptide repeats 1	protein-coding
1-1021	chr1	246058197	246058650	+	0	NA	intron (NM_022743, intron 8 of 11)	intron (NM_022743, intron 8 of 11)	522291	NM_022743	64754	Hs.567571	NM_022743	ENSG00000185420	SMYD3	KMT3E|ZMYND1|ZNFN3A1|bA74P14.1	SET and MYND domain containing 3	protein-coding
1-3164	chr17	9141000	9141453	+	0	NA	intron (NM_004822, intron 6 of 6)	intron (NM_004822, intron 6 of 6)	-58791	NR_110828	101928266	Hs.639880	NR_110828	ENSG00000262966	LOC101928266	-	uncharacterized LOC101928266	ncRNA
1-3037	chr1	116876594	116877047	+	0	NA	Intergenic	Intergenic	-39046	NM_000701	476	Hs.371889	NM_000701	ENSG00000163399	ATP1A1	CMT2DD|HOMGSMR2	ATPase Na+/K+ transporting subunit alpha 1	protein-coding
1-123	chr3	47323849	47324302	+	0	NA	promoter-TSS (NM_025010)	promoter-TSS (NM_025010)	214	NM_022342	64147	Hs.373947	NM_022342	ENSG00000088727	KIF9	-	kinesin family member 9	protein-coding
1-4130	chr7	65481013	65481466	+	0	NA	Intergenic	L1MEf|LINE|L1	-34039	NM_001293104	2990	Hs.255230	NM_000181	ENSG00000169919	GUSB	BG|MPS7	glucuronidase beta	protein-coding
1-1683	chr3	40981182	40981635	+	0	NA	Intergenic	Intergenic	-259588	NM_001098210	1499	Hs.476018	NM_001904	ENSG00000168036	CTNNB1	CTNNB|EVR7|MRD19|NEDSDV|armadillo	catenin beta 1	protein-coding
1-3004	chr17	10647646	10648099	+	0	NA	intron (NR_073456, intron 2 of 3)	intron (NR_073456, intron 2 of 3)	-14226	NM_001004313	388335	Hs.462230	NM_001004313	ENSG00000187824	TMEM220	-	transmembrane protein 220	protein-coding
1-1341	chr2	73200733	73201186	+	0	NA	intron (NM_001330411, intron 11 of 14)	intron (NM_001330411, intron 11 of 14)	56311	NM_004097	2016	Hs.516090	NM_004097	ENSG00000135638	EMX1	-	empty spiracles homeobox 1	protein-coding
1-3405	chr3	42846644	42847097	+	0	NA	promoter-TSS (NM_001099669)	promoter-TSS (NM_001099669)	-843	NM_014056	25994	Hs.593134	NM_014056	ENSG00000181061	HIGD1A	HIG1|RCF1a	HIG1 hypoxia inducible domain family member 1A	protein-coding
1-5326	chr7	87094497	87094950	+	0	NA	intron (NM_000443, intron 3 of 27)	L1PA5|LINE|L1	10273	NM_000443	5244	Hs.654403	NM_000443	ENSG00000005471	ABCB4	ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3	ATP binding cassette subfamily B member 4	protein-coding
1-1631	chr5	162887221	162887674	+	0	NA	promoter-TSS (NR_138426)	promoter-TSS (NR_138426)	-191	NM_012485	3161	Hs.740467	NM_012484	ENSG00000072571	HMMR	CD168|IHABP|RHAMM	hyaluronan mediated motility receptor	protein-coding
1-1522	chr10	34762382	34762835	+	0	NA	intron (NM_001184791, intron 3 of 20)	MER66B|LTR|ERV1	341616	NM_001184789	56288	Hs.131489	NM_019619	ENSG00000148498	PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	par-3 family cell polarity regulator	protein-coding
1-1750	chr5	131892293	131892746	+	0	NA	promoter-TSS (NM_005732)	promoter-TSS (NM_005732)	-150	NM_005732	10111	Hs.633509	NM_005732	ENSG00000113522	RAD50	NBSLD|RAD502|hRad50	RAD50 double strand break repair protein	protein-coding
1-3168	chr17	43248264	43248717	+	0	NA	non-coding (NR_135646, exon 1 of 2)	non-coding (NR_135646, exon 1 of 2)	362	NR_135646	105371795	Hs.569733	NR_135646	ENSG00000267288	LOC105371795	-	uncharacterized LOC105371795	ncRNA
1-3871	chr8	125486649	125487102	+	0	NA	promoter-TSS (NM_007218)	promoter-TSS (NM_007218)	-71	NR_108047	101927612	Hs.633137	NR_108047	ENSG00000245149	RNF139-AS1	-	RNF139 antisense RNA 1 (head to head)	ncRNA
1-5486	chr19	18739929	18740382	+	0	NA	Intergenic	Intergenic	-7683	NM_001345982	55295	Hs.250632	NM_018316	ENSG00000167487	KLHL26	-	kelch like family member 26	protein-coding
1-4574	chr1	6305007	6305460	+	0	NA	exon (NM_001024598, exon 4 of 4)	exon (NM_001024598, exon 4 of 4)	994	NM_001024598	390992	Hs.532677	NM_001024598	ENSG00000173673	HES3	bHLHb43	hes family bHLH transcription factor 3	protein-coding
1-4879	chr1	87379991	87380444	+	0	NA	promoter-TSS (NM_004261)	promoter-TSS (NM_004261)	43	NR_144513	9403	Hs.362728	NM_004261	ENSG00000183291	SELENOF	SEP15	selenoprotein F	protein-coding
1-6043	chr12	50396306	50396759	+	0	NA	intron (NM_001319999, intron 5 of 16)	AluY|SINE|Alu	22745	NM_001319999	29127	Hs.505469	NM_013277	ENSG00000161800	RACGAP1	CYK4|HsCYK-4|ID-GAP|MgcRacGAP	Rac GTPase activating protein 1	protein-coding
1-1370	chr13	30122332	30122785	+	0	NA	intron (NM_003045, intron 2 of 12)	intron (NM_003045, intron 2 of 12)	47267	NM_003045	6541	Hs.14846	NM_003045	ENSG00000139514	SLC7A1	ATRC1|CAT-1|ERR|HCAT1|REC1L	solute carrier family 7 member 1	protein-coding
1-2251	chr12	54150799	54151252	+	0	NA	promoter-TSS (NR_104332)	promoter-TSS (NR_104332)	-207	NR_104332	102216268	Hs.742074	NR_104332	ENSG00000260492	CISTR	CISTR-ACT|CISTRACT|re52431	chondrogenesis-associated transcript	ncRNA
1-2976	chr11	78651604	78652057	+	0	NA	intron (NM_001098816, intron 6 of 33)	intron (NM_001098816, intron 6 of 33)	-365921	NM_001243251	79731	Hs.503389	NM_024678	ENSG00000137513	NARS2	DFNB94|SLM5|asnRS	asparaginyl-tRNA synthetase 2, mitochondrial	protein-coding
1-3153	chr15	72766098	72766551	+	0	NA	promoter-TSS (NM_005744)	promoter-TSS (NM_005744)	256	NR_135678	105370888	Hs.540241	NR_135678	ENSG00000261423	TMEM202-AS1	-	TMEM202 antisense RNA 1	ncRNA
1-1500	chr2	103204960	103205413	+	0	NA	Intergenic	Intergenic	-30826	NM_003048	6549	Hs.250083	NM_003048	ENSG00000115616	SLC9A2	NHE2	solute carrier family 9 member A2	protein-coding
1-221	chr3	45036958	45037411	+	0	NA	intron (NM_015004, intron 3 of 7)	intron (NM_015004, intron 3 of 7)	19443	NR_023353	23016	Hs.719958	NM_015004	ENSG00000075914	EXOSC7	EAP1|RRP42|Rrp42p|hRrp42p|p8	exosome component 7	protein-coding
1-4238	chr16	4442594	4443047	+	0	NA	intron (NM_001351729, intron 7 of 27)	intron (NM_001351729, intron 7 of 27)	20971	NM_138440	114990	Hs.372579	NM_138440	ENSG00000168140	VASN	SLITL2	vasorin	protein-coding
1-5170	chr22	18335854	18336307	+	0	NA	intron (NM_015241, intron 19 of 31)	intron (NM_015241, intron 19 of 31)	53572	NM_001122731	57553	Hs.528024	NM_015241	ENSG00000243156	MICAL3	MICAL-3	microtubule associated monooxygenase, calponin and LIM domain containing 3	protein-coding
1-6	chr2	74648579	74649032	+	0	NA	promoter-TSS (NM_001316764)	promoter-TSS (NM_001316764)	-52	NM_001320823	84058	Hs.643480	NM_032118	ENSG00000005448	WDR54	-	WD repeat domain 54	protein-coding
1-3079	chr5	100238799	100239252	+	0	NA	promoter-TSS (NM_005668)	promoter-TSS (NM_005668)	-39	NM_175052	7903	Hs.308628	NM_005668	ENSG00000113532	ST8SIA4	PST|PST1|SIAT8D|ST8SIA-IV	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	protein-coding
1-3839	chr6	40626721	40627174	+	0	NA	Intergenic	Intergenic	-71844	NM_020737	57497	Hs.250015	NM_020737	ENSG00000156564	LRFN2	FIGLER2|KIAA1246|SALM1	leucine rich repeat and fibronectin type III domain containing 2	protein-coding
1-2189	chr19	35886759	35887212	+	0	NA	Intergenic	Intergenic	-9524	NR_040046	100128682	Hs.570008	NR_040046	ENSG00000205786	LINC01531	-	long intergenic non-protein coding RNA 1531	ncRNA
1-4462	chr12	30322977	30323430	+	0	NA	Intergenic	CpG	-385511	NM_175861	83857	Hs.401954	NM_031920	ENSG00000133687	TMTC1	ARG99|OLF|TMTC1A	transmembrane O-mannosyltransferase targeting cadherins 1	protein-coding
1-5636	chr7	36383357	36383810	+	0	NA	intron (NM_001300956, intron 1 of 5)	intron (NM_001300956, intron 1 of 5)	23266	NM_001199708	23366	Hs.6224	NM_015314	ENSG00000164542	KIAA0895	-	KIAA0895	protein-coding
1-213	chr3	49685234	49685687	+	0	NA	intron (NM_003458, intron 3 of 11)	intron (NM_003458, intron 3 of 11)	-26324	NM_001640	327	Hs.517969	NM_001640	ENSG00000164062	APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	acylaminoacyl-peptide hydrolase	protein-coding
1-5690	chr11	95018819	95019272	+	0	NA	Intergenic	Intergenic	-53406	NM_001271594	143686	Hs.120633	NM_144665	ENSG00000149212	SESN3	SEST3	sestrin 3	protein-coding
1-5639	chr7	84020118	84020571	+	0	NA	Intergenic	MLT1J-int|LTR|ERVL-MaLR	-141448	NR_110080	101927378	Hs.539042	NR_110079	ENSG00000235139	LOC101927378	-	uncharacterized LOC101927378	ncRNA
1-2411	chr2	216973659	216974112	+	0	NA	promoter-TSS (NM_021141)	promoter-TSS (NM_021141)	-186	NM_021141	7520	Hs.388739	NM_021141	ENSG00000079246	XRCC5	KARP-1|KARP1|KU80|KUB2|Ku86|NFIV	X-ray repair cross complementing 5	protein-coding
1-3931	chr13	40715106	40715559	+	0	NA	Intergenic	Intergenic	-40614	NR_046870	100874127	Hs.578028	NR_046870	ENSG00000230710	LINC00332	NCRNA00332	long intergenic non-protein coding RNA 332	ncRNA
1-717	chr8	21913195	21913648	+	0	NA	promoter-TSS (NM_001323401)	promoter-TSS (NM_001323401)	-904	NM_001323380	2039	Hs.106124	NM_001978	ENSG00000158856	DMTN	DMT|EPB49	dematin actin binding protein	protein-coding
1-3992	chr19	57862293	57862746	+	0	NA	promoter-TSS (NM_020657)	promoter-TSS (NM_020657)	-123	NM_020657	57343	Hs.287374	NM_020657	ENSG00000131845	ZNF304	-	zinc finger protein 304	protein-coding
1-5477	chr18	19765598	19766051	+	0	NA	intron (NM_005257, intron 6 of 6)	intron (NM_005257, intron 6 of 6)	16426	NM_005257	2627	Hs.514746	NM_005257	ENSG00000141448	GATA6	-	GATA binding protein 6	protein-coding
1-4507	chr16	14591454	14591907	+	0	NA	intron (NM_002582, intron 21 of 23)	intron (NM_002582, intron 21 of 23)	-127557	NR_131191	105447648	Hs.554151	NR_131191	ENSG00000260009	LINC02130	-	long intergenic non-protein coding RNA 2130	ncRNA
1-4276	chr19	45672015	45672468	+	0	NA	intron (NM_001270891, intron 1 of 5)	intron (NM_001270891, intron 1 of 5)	-8833	NM_198478	284353	Hs.299256	NM_198478		NKPD1	-	NTPase KAP family P-loop domain containing 1	protein-coding
1-1941	chrX	52023929	52024382	+	0	NA	Intergenic	LTR10B1|LTR|ERV1	55629	NR_107055	102466880		NR_107055	ENSG00000275335	MIR8088	hsa-mir-8088	microRNA 8088	ncRNA
1-2181	chr17	36147017	36147470	+	0	NA	Intergenic	Intergenic	-42193	NM_001165923	6928	Hs.191144	NM_000458	ENSG00000275410	HNF1B	FJHN|HNF-1-beta|HNF-1B|HNF1beta|HNF2|HPC11|LF-B3|LFB3|MODY5|TCF-2|TCF2|VHNF1	HNF1 homeobox B	protein-coding
1-2571	chr10	93113908	93114361	+	0	NA	intron (NR_024467, intron 3 of 4)	L1ME1|LINE|L1	-54858	NM_001348365	143279	Hs.596096	NM_173497	ENSG00000165338	HECTD2	-	HECT domain E3 ubiquitin protein ligase 2	protein-coding
1-3715	chr16	53503820	53504273	+	0	NA	exon (NM_001323610, exon 15 of 22)	exon (NM_001323610, exon 15 of 22)	33075	NM_022476	64400	Hs.380897	NM_022476	ENSG00000166971	AKTIP	FT1|FTS	AKT interacting protein	protein-coding
1-4743	chr11	57144981	57145434	+	0	NA	exon (NM_006093, exon 5 of 6)	exon (NM_006093, exon 5 of 6)	3416	NM_006093	10394	Hs.251386	NM_006093	ENSG00000156575	PRG3	MBP2|MBPH	proteoglycan 3, pro eosinophil major basic protein 2	protein-coding
1-5348	chr8	116112940	116113393	+	0	NA	Intergenic	Intergenic	567074	NM_001282902	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
1-984	chr12	95611673	95612126	+	0	NA	promoter-TSS (NM_018351)	promoter-TSS (NM_018351)	316	NM_001352112	55591	Hs.24135	NM_017599	ENSG00000028203	VEZT	VEZATIN	vezatin, adherens junctions transmembrane protein	protein-coding
1-250	chr3	195163795	195164248	+	0	NA	promoter-TSS (NM_012287)	promoter-TSS (NM_012287)	-272	NM_012287	23527	Hs.593373	NM_012287	ENSG00000114331	ACAP2	CENTB2|CNT-B2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	protein-coding
1-5331	chr7	101529866	101530319	+	0	NA	intron (NM_181552, intron 1 of 23)	intron (NM_181552, intron 1 of 23)	69186	NM_181552	1523	Hs.191482	NM_001913	ENSG00000257923	CUX1	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GDDI|GOLIM6|Nbla10317|p100|p110|p200|p75	cut like homeobox 1	protein-coding
1-3911	chr11	46287257	46287710	+	0	NA	Intergenic	Intergenic	-11730	NM_052854	90993	Hs.405961	NM_052854	ENSG00000157613	CREB3L1	OASIS|OI16	cAMP responsive element binding protein 3 like 1	protein-coding
1-2170	chr14	89679311	89679764	+	0	NA	intron (NM_001085471, intron 4 of 6)	intron (NM_001085471, intron 4 of 6)	204040	NM_005197	1112	Hs.434286	NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
1-2344	chr11	126310723	126311176	+	0	NA	intron (NM_001301097, intron 10 of 15)	intron (NM_001301097, intron 10 of 15)	34967	NM_001254759	6484	Hs.591947	NM_006278	ENSG00000110080	ST3GAL4	CGS23|NANTA3|SAT3|SIAT4|SIAT4C|ST-4|ST3GalA.2|ST3GalIV|STZ|gal-NAc6S	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	protein-coding
1-1302	chr2	171627268	171627721	+	0	NA	promoter-TSS (NR_110185)	promoter-TSS (NR_110185)	-218	NR_110185	101926913	Hs.301715	NR_110185		LOC101926913	-	uncharacterized LOC101926913	ncRNA
1-1811	chr7	20181237	20181690	+	0	NA	promoter-TSS (NR_046756)	promoter-TSS (NR_046756)	-76	NR_046756	100874041	Hs.145104	NR_046756	ENSG00000228598	MACC1-AS1	-	MACC1 antisense RNA 1	ncRNA
1-4474	chr12	116875407	116875860	+	0	NA	Intergenic	L1MB7|LINE|L1	-9510	NR_039683	100616309		NR_039683	ENSG00000264037	MIR4472-2	-	microRNA 4472-2	ncRNA
1-6065	chr13	100953572	100954025	+	0	NA	exon (NM_001352609, exon 13 of 22)	exon (NM_001352609, exon 13 of 22)	179471	NR_047686	100885777	Hs.662554	NR_047686		PCCA-AS1	-	PCCA antisense RNA 1	ncRNA
1-3683	chr11	125696753	125697206	+	0	NA	Intergenic	Intergenic	-6232	NM_001144874	399968	Hs.436215	NM_001144874	ENSG00000237353	PATE4	PATE-B	prostate and testis expressed 4	protein-coding
1-1675	chr1	25566159	25566612	+	0	NA	Intergenic	Intergenic	-7392	NM_015484	25949	Hs.20013	NM_015484	ENSG00000117614	SYF2	CBPIN|NTC31|P29|fSAP29	SYF2 pre-mRNA splicing factor	protein-coding
1-456	chr19	4759678	4760131	+	0	NA	Intergenic	CpG	-9213	NR_027148	284424	Hs.326728	NM_174947	ENSG00000176840	MIR7-3HG	C19orf30|Huh7|LINC00306|NCRNA00306|PGSF1|uc002mbe.2	MIR7-3 host gene	ncRNA
1-304	chr1	235099871	235100324	+	0	NA	promoter-TSS (NR_125945)	promoter-TSS (NR_125945)	-351	NR_125945	101927851	Hs.520684	NR_125945	ENSG00000238005	LOC101927851	-	uncharacterized LOC101927851	ncRNA
1-2632	chrX	73712512	73712965	+	0	NA	intron (NM_006517, intron 1 of 5)	intron (NM_006517, intron 1 of 5)	71410	NM_006517	6567	Hs.75317	NM_006517	ENSG00000147100	SLC16A2	AHDS|DXS128|DXS128E|MCT 7|MCT 8|MCT7|MCT8|MRX22|XPCT	solute carrier family 16 member 2	protein-coding
1-1085	chr8	143371947	143372400	+	0	NA	intron (NM_001363740, intron 10 of 13)	intron (NM_001363740, intron 10 of 13)	92456	NR_024378	619434	Hs.393308	NR_024378	ENSG00000254008	LINC00051	C8orf43|NCRNA00051	long intergenic non-protein coding RNA 51	ncRNA
1-4054	chr2	138615405	138615858	+	0	NA	Intergenic	L2|LINE|L2	69871	NR_120402	101928273	Hs.560928	NR_120402		LOC101928273	-	uncharacterized LOC101928273	ncRNA
1-5259	chr3	63979316	63979769	+	0	NA	intron (NM_001177387, intron 10 of 12)	intron (NM_001177387, intron 10 of 12)	-10156	NR_038286	100507062	Hs.152536	NR_038286	ENSG00000239653	PSMD6-AS2	-	PSMD6 antisense RNA 2	ncRNA
1-2205	chr2	25555472	25555925	+	0	NA	intron (NR_135490, intron 1 of 23)	intron (NR_135490, intron 1 of 23)	-4108	NR_031570	100302246		NR_031570	ENSG00000221445	MIR1301	MIRN1301|hsa-mir-1301|mir-1301	microRNA 1301	ncRNA
1-4157	chr9	34458350	34458803	+	0	NA	promoter-TSS (NM_001184941)	promoter-TSS (NM_001184941)	-8	NM_001184945	203259	Hs.493771	NM_147202	ENSG00000164970	FAM219A	C9orf25	family with sequence similarity 219 member A	protein-coding
1-142	chr2	220071245	220071698	+	0	NA	promoter-TSS (NM_001270998)	promoter-TSS (NM_001270998)	-33	NM_138802	130617	Hs.534540	NM_138802	ENSG00000158552	ZFAND2B	AIRAPL	zinc finger AN1-type containing 2B	protein-coding
1-5238	chr2	150024466	150024919	+	0	NA	intron (NM_177964, intron 3 of 6)	AluSz6|SINE|Alu	50004	NM_001317002	130576	Hs.357567	NM_177964	ENSG00000150556	LYPD6B	CT116|LYPD7	LY6/PLAUR domain containing 6B	protein-coding
1-192	chr10	134775582	134776035	+	0	NA	promoter-TSS (NR_125763)	promoter-TSS (NR_125763)	-67	NR_125763	103695432	Hs.680406	NR_125763	ENSG00000224758	LINC01167	TCONS_00018075	long intergenic non-protein coding RNA 1167	ncRNA
