	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_REGULATION_OF_SECRETION	BRSK2 PRKCG SLC30A8 SNAP25 SPP1 SRCIN1 SSTR5 STX1A SYN1 SYT2 UCN3	ADCY1 ASIC1 CACNA1G CADPS FFAR2 NPPB PARD6A SOCS1	APBB1 BAIAP3 BRSK2 CACNA1C CDK5R2 KCNJ11 LGI3 RAPGEF4 RFX6 RSAD2 SCT SNAP25 SOCS1 SYN1 SYP WNK3		AGT AVPR1B BAIAP3 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CNR1 CPLX2 CRH GIP HAP1 LGI3 PRKCG SFRP1 SLC30A8 SRCIN1 STXBP5L SV2A SYP SYT2 UCN3 WNK3	ADCY1 ADCY5 APLN CHRNA3 CHRNA5 CHRNB2 GIP STX1A STXBP5L	ADCY1 AIF1 CHGA PRKCG STX1A STXBP1 STXBP5L SYT5			ADCY1 APLN CACNA1E CACNA1G CACNA1H CACNA2D2 CADPS CSF1R ITPR1 RAB3C SSTR5	ADORA2A CACNA1G CDK5R2 GRIK5 ISL1 PRRT2 SNAP25 SOX4	ABCC8 AGT APBB1 ASIC1 BAIAP3 CACNA1A CACNA1C CDK5R2 CES1 CHGA CHRNA5 CPLX2 DRD2 FFAR1 GIP GRIK5 HAP1 ISL1 LGI3 RAB26 RAB3C SCG5 SNAP25 SPP1 SRCIN1 STX1A STXBP5L SV2A SYP TFF2 UCN3	ADORA2A AGT AIF1 AVPR1B BAIAP3 CACNA1C CACNA1G CDK5R2 CXCL12 GAL GHRL ISL1 NEUROD1 PRRT2 RAB26 RFX6 SCG5 SCT SOCS1 SYN1 SYT2	AIF1 CDK5R2 CNR1 CPLX2 CRH CSF1R GAL GRIK5 LGI3 NCS1 NKX6-1 NPPB STXBP1 SYP	
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	PRKCG STX1A SYN1				CACNB2 CHRNA5 CNR1 CPLX2 PRKCG STXBP5L SYP	ADCY1 CHRNA5 CHRNB2 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP1 STXBP5L				ADORA2A GRIK5 PRRT2	CHRNA5 CPLX2 DRD2 GRIK5 STX1A STXBP5L SYP	ADORA2A PRRT2 SYN1	CNR1 CPLX2 GRIK5 NCS1 STXBP1 SYP	
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	DLG2 KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC8A1	CACNA1G FXYD6 KCNAB2 KCNF1 SCN1B SLC25A27	ARC CACNA1C CACNG6 CNIH2 DLG2 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 NR4A3 WNK3	AHNAK CACNG6 FGF14 HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A TRPC6 WNK2	AGT ANK2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CLCNKA CLIP3 CRH FXYD6 GIP HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 NALCN NR4A3 RGS4 SCN1B SCN3B SLC25A27 SLC8A1 TRPC6 WNK3	BCL2 GIP HECW2 HSPA2 KCNC1 KCNE4 S100A1		CACNG6 KCNJ2 KCNK17 SCN2A SCN3B		BCL2 CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 KCNH6		AGT ANK2 CACNA1A CACNA1C CACNB4 CACNG7 CLIP3 CNIH2 DLG2 DPP10 DRD2 FABP5 FGF14 GIP HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 NALCN RGS4 S100A1 SCN1B	AGT ARC CACNA1C CACNA1G CACNB4 CLIP3 DLG2 FXYD1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 PLCG2		AGT CLIP3 CNIH2 FGF14 GRIN1 GSTM2 HCN4 KCNF1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_REGULATION_OF_TRANSPORT	BRSK2 CAMK2B DLG2 ICA1L KCNB2 KCNJ2 KCNK17 MX2 NALCN NEFL PRKCG RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 SPP1 SRCIN1 SSTR5 STX1A SYN1 SYT2 UCN3	ADCY1 ASIC1 CACNA1G CADPS FFAR2 FXYD6 KCNAB2 KCNF1 NPPB PARD6A REEP2 SCN1B SIRPA SLC25A27 SOCS1	ANKRD13B APBB1 ARC BAIAP3 BRSK1 BRSK2 CACNA1C CACNG6 CDK5R1 CDK5R2 CNIH2 DLG2 DNM3 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 LGI3 MAP2 MYBPC3 NR4A3 RAPGEF4 RFX6 RSAD2 SCT SNAP25 SOCS1 SYN1 SYNGR3 SYP WNK3	AHNAK AIF1 CACNG6 CAMK1 CD300LF CEP290 FGF14 HCN4 ICA1L KCNG1 KCNH7 KCNIP3 KCNJ3 MYBPC3 OSBPL6 RSAD2 SCN2A SOCS1 SPP1 TRPC6 WNK2	AGT ANK2 APOC3 AVPR1B BAIAP3 BSN CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CALY CCL19 CEP290 CHRNA5 CLCNKA CLIP3 CNR1 CPLX2 CRH FXYD6 GABRE GIP HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 LGI3 MAP1B NALCN NR4A3 PCDH17 PRKCG RGS4 SCN1B SCN3B SFRP1 SLC25A27 SLC30A8 SLC8A1 SRCIN1 STXBP5L SV2A SYP SYT2 TRPC6 UCN3 USP6 WNK3	ADCY1 ADCY5 APLN BCL2 CHRNA3 CHRNA5 CHRNB2 GIP HECW2 HSPA2 KCNC1 KCNE4 S100A1 STX1A STXBP5L	ADCY1 AIF1 ARC CHGA PRKCG SHISA9 SLC38A3 STX1A STXBP1 STXBP5L SYT5	APOA1 CACNG6 DNM3 KCNJ2 KCNK17 NCS1 SCN2A SCN3B		ADCY1 APLN BCL2 CACNA1E CACNA1G CACNA1H CACNA2D2 CADPS CSF1R HCN4 HSPA2 ITPR1 KCNH6 PTCH1 RAB3C SSTR5 SYNGR3	ADORA2A BRSK1 CACNA1G CDK5R2 DLG2 GRIK5 HSPA2 ISL1 KCNAB2 KCNE4 NDRG4 PRRT2 SIRPA SNAP25 SOX4 SPTBN4	ABCC8 AGT ANK2 APBB1 ASIC1 BAIAP3 BRSK1 BSN CACNA1A CACNA1C CACNB4 CACNG7 CCL19 CDK5R2 CES1 CHGA CHRNA5 CLIP3 CNIH2 CPLX2 DLG2 DPP10 DRD2 FABP5 FFAR1 FGF14 GABRE GIP GRIK5 HAP1 HCN4 ISL1 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 LCP1 LGI3 LRAT MAP1B MAP2 NALCN NDRG4 PLTP RAB26 RAB3C REEP2 RGS4 S100A1 SCG5 SCN1B SIRPA SNAP25 SPP1 SPTBN4 SRCIN1 STX1A STXBP5L SV2A SYP TFF2 UCN3	ADORA2A AGT AIF1 ARC AVPR1B BAIAP3 BRSK1 CACNA1C CACNA1G CACNB4 CALY CDK5R2 CEP290 CLIP3 CXCL12 DLG2 FXYD1 GAL GHRL GSTM2 ISL1 JPH4 KCNF1 KCNH2 KCNJ6 LRAT NDRG4 NEUROD1 NKAIN1 OSBPL6 PLCG2 PRKD1 PRRT2 RAB26 RFX6 SCG5 SCT SOCS1 SYN1 SYNGR3 SYT2	AIF1 CDK5R2 CNR1 CPLX2 CRH CSF1R GAL GRIK5 KCNG1 LCP1 LGI3 NCS1 NKX6-1 NPPB REEP2 SPTBN4 STXBP1 SYP	AGT AIF1 ANKRD13B APBB1 APLN CAMK1 CAMK2B CLIP3 CNIH2 FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 LCP1 LRAT PLTP S100A1 SCN1B SCN3B SIRPA SOCS1 SSTR5 SYP
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	CAMK2B IGSF9B MPP2 PRKCG RGS4 SNAP25 STX1A SYN1 TUBB2B	ADCY1 ASIC1 NPTX1 NTRK2 SORCS2	ARC BAIAP3 BEGAIN BRSK1 CELF4 CNIH2 JPH4 LRFN2 NTRK1 PLCL1 SCT SNAP25 SYN1 SYP	FGF14 GRIN2C MAP1A NEUROD2 NTNG2 NTRK1	AGT BAIAP3 CACNA2D2 CACNB2 CELF4 CHRNA5 CNR1 CPLX2 CRH GIP HAP1 JPH4 LRFN2 MAP1A MAP1B NEUROD2 PCDH17 PRKCG RGS4 STXBP5L SYP	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP STX1A STXBP5L	ADCY1 ARC CELF4 NPTX2 PRKCG SHISA9 STX1A STXBP1 STXBP5L			ADCY1 BEGAIN CACNA2D2 LZTS1 TUBB2B	ADORA2A BRSK1 GRIK5 NTRK2 PRRT2 SNAP25 SORCS2	AGT ASIC1 BAIAP3 BEGAIN BRSK1 CACNA1A CACNG7 CHRNA5 CNIH2 CPLX2 DRD2 EFNB3 FABP5 FGF14 GIP GRIK5 HAP1 MAP1A MAP1B MPP2 NEUROD2 PLCL1 RAB26 RGS14 RGS4 SCGN SNAP25 STX1A STXBP5L SYP TUBB2B VGF	ADORA2A AGT ARC BAIAP3 BEGAIN BRSK1 GHRL IGSF9B JPH4 LRFN2 MPP2 NPTX2 NTRK2 PRRT2 RAB26 RGS14 SCT SYN1 VGF	CNR1 CPLX2 CRH GRIK5 NCS1 STXBP1 SYP	AGT CAMK2B CNIH2 EFNB3 FGF14 GRIN1 LZTS1 MAP1A MPP2 SCGN SYP VGF
GO_SIGNAL_RELEASE	BRSK2 FZD4 ILDR2 PRKCG SLC30A8 SNAP25 SPP1 SSTR5 STX1A SYN1 SYT2 UCN3	ABCC4 ADCY1 ASIC1 CADPS FFAR2 FZD4 PTPRN2 SOCS1 STX2	BAIAP3 BRSK1 BRSK2 CACNA1C KCNJ11 LIN7A NRXN2 RAPGEF4 RFX6 SCT SNAP25 SOCS1 SYN1 SYP		AGT BAIAP3 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CNR1 CPE CPLX2 CRH GIP NRXN2 PRKCG PTPRN SFRP1 SLC30A8 STXBP5L SV2A SYP SYT2 UCN3	ADCY1 ADCY5 APLN CHRNA3 CHRNA5 CHRNB2 GIP STX1A STXBP5L	ADCY1 AIF1 CHGA PRKCG STX1A STXBP1 STXBP5L SYT5			ADCY1 APLN CACNA1E CACNA2D2 CADPS CSF1R ITPR1 PTPRN2 SSTR5	ADORA2A BRSK1 GRIK5 ILDR2 ISL1 LIN7A PRRT2 SNAP25 SOX4 STX2	ABCC8 AGT ASIC1 BAIAP3 BRSK1 CACNA1A CACNA1C CHGA CHRNA5 CPLX2 DRD2 FFAR1 FZD4 GIP GRIK5 ISL1 NRXN2 SCG5 SNAP25 SPP1 STX1A STX2 STXBP5L SV2A SYP UCN3 VGF	ADORA2A AGT AIF1 BAIAP3 BRSK1 CACNA1C CPE CXCL12 GAL GHRL ISL1 NEUROD1 NRXN2 PRRT2 PTPRN RFX6 SCG5 SCT SOCS1 SYN1 SYT2 VGF	AIF1 CNR1 CPE CPLX2 CRH CSF1R GAL GRIK5 NCS1 NKX6-1 STXBP1 SYP	AGT AIF1 APLN ITPR1 KCNJ11 SOCS1 SSTR5 SYP VGF
GO_SOMATODENDRITIC_COMPARTMENT	CHRM4 DLG2 FZD4 GAP43 IGSF9B KCNB2 KCNJ2 MPP2 MX1 MX2 PRKCG SEZ6 SLC8A1 SNAP25 SRCIN1 SYN1 TRPM2 TUBB3	ANKS1B ELFN1 FZD4 LHFPL4 NTRK2 PCSK2 SAMD14 SCN1B SLC25A27 SORCS2	APBB1 ARC CACNA1C CDK5R1 CNGA3 CNIH2 DLG2 DNER DNM3 JPH4 KCNIP3 KCNJ11 KCNN3 MAP2 MAP6 MX1 NTRK1 PSD RTN4RL1 SLC12A5 SNAP25 SYN1 TPGS1 TTBK1 TUBB3		APOB ARHGAP33 BSN CACNA1C CHRM4 CNGA3 CPLX2 CRH CYGB FRMPD4 GIP HAP1 JPH4 KCNB2 KCNC1 KCNJ2 KIF5A KIRREL3 KNDC1 MAP1A MAP1B MAST1 PCSK2 PRKCG PSD PTPRN RET SAMD14 SCN1B SLC25A27 SLC8A1 SRCIN1 SST SV2A USH2A	CHRNA3 DDN GIP KCNC1 RTN4RL1 SEZ6L STMN2 TENM2 TUBB4A	AIF1 ARC DNER MAP6 PRKCG SYT5	ADCY2 DNM3 KCNJ2 NCS1 RET SEZ6L	ANKS1B DRD2 MX1 PRR7 TPGS1	EPHB3 KIF1A LZTS1 PTCH1 TTBK1 TTLL7 USH2A	ADORA2A ARHGAP33 DDN DLG2 GRIK5 KIF1A KIRREL3 NTRK2 PRRT2 SNAP25 SORCS2 SPTBN4 SST USH2A	ADCY2 ANKS1B APBB1 ARHGAP33 ATP1A3 BRS3 BSN CACNA1A CACNA1C CACNG7 CHL1 CNIH2 CPLX2 DLG2 DNER DRD2 FRMPD4 FZD4 GAP43 GIP GNAO1 GRIK5 HAP1 KCNB2 KCNIP3 KCNN3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP6 MAPK10 MPP2 NFASC PALMD PCSK2 PSD RET RGS14 SAMD14 SCGN SCN1B SEZ6 SEZ6L SLC12A5 SNAP25 SPTBN4 SRCIN1 SV2A TPGS1 UCHL1 USH2A	ADCY2 ADORA2A AIF1 ARC CACNA1C CNGA3 DDC DLG2 GAL IGSF9B JPH4 KIRREL3 MAP6 MPP2 NTRK2 P2RX6 PCSK2 PRR7 PRRT2 PTPRN RGS14 SEZ6 SYN1 UCHL1	AIF1 ARHGAP33 ATP1A3 CHRM4 CPLX2 CRH CYGB GAL GRIK5 KNDC1 MAST1 NCS1 SPTBN4 TUBB3	AIF1 APBB1 BRS3 CNIH2 CPT1C DDN GRIN1 KCNJ11 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 P2RX6 PRR7 RET SCGN SCN1B SEZ6
GO_SYNAPSE	C1QL1 CAMK2B CHRM4 COLQ DLG2 FZD4 GAP43 IGSF21 IGSF9B KCNJ2 MPP2 MX1 MX2 NEFL PMP22 PRKCG SEZ6 SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SV2B SYN1 SYT2 TUBB2B UCN3	ADCY1 ANKS1B ASIC1 CACNA1G CADPS DPYSL3 ELFN1 FXYD6 FZD4 GABRP GPC2 KCNAB2 LHFPL4 NPTX1 NTRK2 PCDHB14 PTPRN2 RIMBP2 SAMD14 SDK1 SORCS2 STX2	APBB1 ARC ATP6V1B1 BAIAP3 BEGAIN BRSK1 C1QL1 CACNA1C CADM2 CDK5R1 CNIH2 DLG2 DNM3 DSCAML1 FXYD6 KCNIP3 KCTD16 LGI3 LIN7A LRFN1 LRFN2 MAP2 MX1 NRXN2 PDE2A PSD RAPGEF4 RGS17 SLC12A5 SNAP25 SVOP SYN1 SYNGR3 SYP TPGS1	ARHGAP33 ATP6V1B1 ATP6V1G2 CAMK1 GPC6 GRIN2C KCNIP3 KCNJ3 MAP1A NTNG2 SCN2A SLC18A1 SV2B	ANK2 ARHGAP33 ATP6V1G2 BAIAP3 BSN CABP4 CACNA1C CACNA1E CACNB2 CACNB4 CALY CHRM4 CHRNA5 CNR1 CPLX2 CRH FAIM2 FRMPD4 FXYD6 GABRE GPC2 HAP1 KCNC1 KCNJ2 KCNJ3 KIF5A KIRREL3 LGI3 LRFN2 MAP1A MAP1B NRXN2 PCDH17 PDE2A PNISR PRKCG PSD PTPRN RIMBP2 SAMD14 SLC6A17 SLC8A1 SRCIN1 SST STXBP5L SV2A SV2B SVOP SYP SYT2 TMOD2 UCN3 USH2A	ADCY1 CHRNA3 CHRNA5 CHRNB2 DDN KCNC1 RIMBP2 SHC3 SLC18A1 STX1A STXBP5L TENM2 TMOD2	ADCY1 ARC CABP4 NPTX2 PRKCG SHISA9 STX1A STXBP1 STXBP5L SYT5	DNM3 KCNJ2 NCS1 SCN2A SLC18A1	ANKS1B DPYSL3 DRD2 GPC6 MX1 PMP22 PRR7 RAPGEF4 SLC1A2 TPGS1	ADCY1 ADD2 BEGAIN CACNA1E CACNA1G CADPS IGFN1 ITPR1 KCNK3 KIF1A LZTS1 PTCH1 PTPRN2 RAB3C SYNGR3 TUBB2B USH2A	ADORA2A AMPH ARHGAP33 BAALC BRSK1 CACNA1G CAMKV DDN DLG2 GABRP GRIK5 KCNAB2 KIF1A KIRREL3 LIN7A NPY NTRK2 PRRT2 RGS17 SNAP25 SORCS2 SST STX2 USH2A	AMPH ANK2 ANKS1B APBB1 ARHGAP33 ASIC1 ATP1A3 ATP6V1G2 BAALC BAIAP3 BEGAIN BRSK1 BSN CACNA1A CACNA1C CACNB4 CACNG7 CAMKV CHRNA5 CNIH2 COLQ CPLX2 DLG2 DRD2 EFNB3 EIF4EBP1 FABP5 FAIM2 FRMPD4 FZD4 GABRA1 GABRE GABRP GAP43 GPC6 GRIK5 HAP1 IGSF21 KCNIP3 KCNJ3 KCNMA1 KIF5A KIRREL3 LGI3 LRRTM3 LY6H MAP1A MAP1B MAP2 MAPK10 MPP2 NRXN2 NTS PALMD PDZRN3 PNISR PSD RAB26 RAB3C RGS14 SAMD14 SCGN SEZ6 SHC3 SLC12A5 SLC18A1 SNAP25 SRCIN1 STX1A STX2 STXBP5L SV2A SV2B SVOP SYP TPGS1 TUBA1A TUBB2B UCN3 USH2A	ADORA2A ARC BAALC BAIAP3 BEGAIN BRSK1 C1QL1 CABP4 CACNA1C CACNA1G CACNB4 CALY DDC DLG2 DSCAML1 EIF4EBP1 GABRA1 GHRL GPC2 IGSF9B KCNK3 KIRREL3 LRFN2 MPP2 NPTX2 NRXN2 NTRK2 P2RX6 PMP22 PRR7 PRRT2 PTPRN RAB26 RGS14 SDK2 SEZ6 SVOP SYN1 SYNGR3 SYT2	ARHGAP33 ATP1A3 C1QL1 CHRM4 CNR1 CPLX2 CRH DACT1 GRIK5 LGI3 NCS1 STXBP1 SYP TUBA1A	APBB1 ATP6V1B1 CADM3 CAMK1 CAMK2B CNIH2 CPT1C DDN EFNB3 EIF4EBP1 GRIN1 ITPR1 LRFN1 LZTS1 MAP1A MAPK8IP1 MPP2 P2RX6 PDE2A PRR7 SCGN SEZ6 SYP
GO_SYNAPSE_ORGANIZATION	C1QL1 CAMK2B COLQ DLG2 GAP43 IGSF21 IGSF9B NEFL SEZ6 SRCIN1 SYN1	ELFN1 LHFPL4 NTRK2 PCDHB14 SDK1	ARC C1QL1 CDK5R1 DLG2 DNER DNM3 LRFN1 LRFN2 NRXN2 NTRK1 SYN1	ARHGAP33 CAMK1 GPC6 NEUROD2 NTNG2 NTRK1	ARHGAP33 BSN CACNA2D2 CACNB2 CACNB4 FRMPD4 KIRREL3 LRFN2 MAP1B NEUROD2 NRXN2 PCDH17 SRCIN1				DRD2 GPC6 SLITRK6	ADD2 CACNA2D2 EPHB3 IGFN1 KIF1A	ARHGAP33 CAMKV DLG2 KIF1A KIRREL3 NTRK2	ARHGAP33 BSN CACNB4 CAMKV COLQ DLG2 DNER DRD2 FRMPD4 GABRA1 GAP43 GPC6 IGSF21 KIRREL3 LMX1A LRRTM3 MAP1B NEUROD2 NFASC NRXN2 PDZRN3 SEZ6 SEZ6L SLITRK6 SRCIN1 TUBA1A	ARC C1QL1 CACNB4 DLG2 GABRA1 GHRL IGSF9B KIRREL3 LRFN2 NRXN2 NTRK2 SDK2 SEZ6 SYN1		
GO_SYNAPTIC_MEMBRANE	CHRM4 DLG2 IGSF21 IGSF9B MX1 MX2 PRKCG SLC8A1 SNAP25 STX1A	ADCY1 FXYD6 GABRP LHFPL4 SORCS2 STX2	APBB1 ARC CACNA1C CNIH2 DLG2 DNM3 FXYD6 KCTD16 LIN7A LRFN1 LRFN2 MX1 PDE2A SNAP25 SYP		ANK2 CACNA1C CHRM4 CHRNA5 CNR1 FAIM2 FXYD6 GABRE KCNC1 KCNJ3 LRFN2 PCDH17 PDE2A PRKCG SLC8A1 SYP	ADCY1 CHRNA3 CHRNA5 CHRNB2 DDN KCNC1 STX1A TENM2	ADCY1 ARC PRKCG SHISA9 STX1A STXBP1		DRD2 MX1 PRR7 SLC1A2		ADORA2A DDN DLG2 GABRP GRIK5 LIN7A PRRT2 SNAP25 SORCS2 STX2	ANK2 APBB1 CACNA1C CACNG7 CHRNA5 CNIH2 DLG2 DRD2 EFNB3 FAIM2 GABRA1 GABRE GABRP GRIK5 IGSF21 KCNJ3 KCNMA1 LRRTM3 SNAP25 STX1A STX2 SYP	ADORA2A ARC CACNA1C DLG2 GABRA1 IGSF9B LRFN2 P2RX6 PRR7 PRRT2	CHRM4 CNR1 GRIK5 STXBP1 SYP	APBB1 CADM3 CNIH2 DDN EFNB3 GRIN1 LRFN1 LZTS1 P2RX6 PDE2A PRR7 SYP
GO_SYNAPTIC_SIGNALING	CAMK2B CHRM4 COLQ DLG2 IGSF9B MPP2 PMP22 PRKCG RGS4 SEZ6 SNAP25 STX1A SV2B SYN1 SYT2 TUBB2B	ADCY1 ASIC1 CACNA1G CADPS GABRP NPTX1 NTRK2 PCDHB14 PTPRN2 RIMBP2 SORCS2 STX2	ARC BAIAP3 BEGAIN BRSK1 CDK5R1 CELF4 CNIH2 DLG2 JPH4 LIN7A LRFN2 NRXN2 NTRK1 PLCL1 SCT SLC12A5 SNAP25 SYN1 SYP TPGS1	FGF14 GRIN2C MAP1A NEUROD2 NTNG2 NTRK1 SV2B	AGT BAIAP3 BSN CACNA1E CACNA2D2 CACNB2 CACNB4 CELF4 CHRM4 CHRNA5 CNR1 CPLX2 CRH GABRE GIP HAP1 JPH4 KIF5A LRFN2 MAP1A MAP1B NEUROD2 NRXN2 PCDH17 PRKCG RGS4 RIMBP2 SST STXBP5L SV2A SV2B SYP SYT2 TMOD2	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP RIMBP2 SHC3 STX1A STXBP5L TMOD2	ADCY1 ARC CELF4 NPTX2 PRKCG SHISA9 STX1A STXBP1 STXBP5L SYT5		DRD2 PMP22 PRR7 SLC1A2 TPGS1	ADCY1 BEGAIN CACNA1E CACNA1G CACNA2D2 CADPS KCNK3 LZTS1 PTPRN2 TUBB2B	ADORA2A AMPH BRSK1 CACNA1G DLG2 GABRP GRIK5 LIN7A NPY NTRK2 PRRT2 SNAP25 SORCS2 SST STX2	AGT AMPH ASIC1 BAIAP3 BEGAIN BRSK1 BSN CACNA1A CACNB4 CACNG7 CHRNA5 CNIH2 COLQ CPLX2 DLG2 DRD2 EFNB3 FABP5 FGF14 GABRA1 GABRE GABRP GIP GRIK5 HAP1 KIF5A LY6H MAP1A MAP1B MPP2 NEUROD2 NRXN2 PLCL1 RAB26 RGS14 RGS4 SCGN SEZ6 SHC3 SLC12A5 SNAP25 STX1A STX2 STXBP5L SV2A SV2B SYP TPGS1 TUBB2B VGF	ADORA2A AGT ARC BAIAP3 BEGAIN BRSK1 CACNA1G CACNB4 DLG2 GABRA1 GHRL IGSF9B JPH4 KCNK3 LRFN2 MPP2 NPTX2 NRXN2 NTRK2 P2RX6 PMP22 PRR7 PRRT2 RAB26 RGS14 SCT SEZ6 SYN1 SYT2 VGF	CHRM4 CNR1 CPLX2 CRH GRIK5 NCS1 STXBP1 SYP	AGT CAMK2B CNIH2 EFNB3 FGF14 GRIN1 LZTS1 MAP1A MPP2 P2RX6 PRR7 SCGN SEZ6 SYP VGF
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	PRKCG SNAP25 STX1A SYN1 SYT2	ADCY1 CADPS STX2	SNAP25 SYN1 SYP		CACNB2 CHRNA5 CNR1 CPLX2 PRKCG STXBP5L SV2A SYP SYT2	ADCY1 CHRNA5 CHRNB2 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP1 STXBP5L SYT5			ADCY1 CADPS	ADORA2A GRIK5 PRRT2 SNAP25 STX2	CHRNA5 CPLX2 DRD2 GRIK5 SNAP25 STX1A STX2 STXBP5L SV2A SYP	ADORA2A PRRT2 SYN1 SYT2	CNR1 CPLX2 GRIK5 NCS1 STXBP1 SYP	
GO_SYNAPTIC_VESICLE_LOCALIZATION	BRSK2 MX1 MX2 SYN1		AP3B2 BRSK1 BRSK2 CNIH2 DNM3 LIN7A MAP2 MX1 SYN1								BRSK1 LIN7A	BRSK1 CNIH2 KIF5A MAP2			
GO_SYNAPTIC_VESICLE_MEMBRANE	SLC18A1 STX1A SV2B SYN1 SYT2		ATP6V1B1 SVOP SYN1 SYNGR3 SYP	ATP6V1B1 ATP6V1G2 SLC18A1 SV2B	ATP6V1G2 BSN SLC6A17 SV2A SV2B SVOP SYP SYT2	SLC18A1 STX1A	STX1A SYT5			PTPRN2 RAB3C SYNGR3	AMPH PRRT2	AMPH ATP6V1G2 BSN DRD2 RAB26 RAB3C SLC18A1 STX1A SV2A SV2B SVOP SYP	PRRT2 RAB26 SVOP SYN1 SYNGR3 SYT2		
