PeakID (cmd=annotatePeaks.pl NEUROG3_peak1027-0918_pancreas.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-1931	chr20	41529579	41529810	+	0	NA	intron (NM_133170, intron 1 of 31)	LTR14B|LTR|ERVK	-67689	NR_149017	101927138	Hs.666740	NR_149017	ENSG00000227599	LOC101927138	-	uncharacterized LOC101927138	ncRNA
1-5704	chr8	109730614	109730845	+	0	NA	intron (NR_136411, intron 1 of 3)	intron (NR_136411, intron 1 of 3)	69094	NR_136411	157753	Hs.99439	NM_153015	ENSG00000164841	TMEM74	NET36	transmembrane protein 74	protein-coding
1-5597	chr17	8742818	8743029	+	0	NA	intron (NR_110865, intron 3 of 19)	intron (NR_110865, intron 3 of 19)	28071	NR_110865	146850	Hs.255809	NM_001010855	ENSG00000276231	PIK3R6	C17orf38|HsT41028|p84 PIKAP|p87(PIKAP)|p87PIKAP	phosphoinositide-3-kinase regulatory subunit 6	protein-coding
1-5408	chr6	74375464	74375682	+	0	NA	Intergenic	Intergenic	-11858	NM_012434	26503	Hs.597422	NM_012434	ENSG00000119899	SLC17A5	AST|ISSD|NSD|SD|SIALIN|SIASD|SLD	solute carrier family 17 member 5	protein-coding
1-7358	chr6	169931501	169931702	+	0	NA	intron (NR_146875, intron 19 of 20)	Zaphod|DNA|hAT-Tip100	170524	NM_182552	253769	Hs.131903	NM_182552	ENSG00000184465	WDR27	-	WD repeat domain 27	protein-coding
1-7764	chr7	44293583	44293814	+	0	NA	intron (NM_172078, intron 5 of 20)	intron (NM_172078, intron 5 of 20)	53121	NM_001363678	10652	Hs.520794	NM_006555	ENSG00000106636	YKT6	-	YKT6 v-SNARE homolog	protein-coding
1-1422	chr5	124629337	124629568	+	0	NA	intron (NR_109882, intron 4 of 5)	intron (NR_109882, intron 4 of 5)	-199502	NR_109887	101927460	Hs.407582	NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
1-9661	chr3	42623014	42623245	+	0	NA	promoter-TSS (NM_016305)	promoter-TSS (NM_016305)	-203	NM_016305	51188	Hs.534454	NM_016305	ENSG00000008324	SS18L2	KIAA-iso	SS18 like 2	protein-coding
1-7517	chr2	223039215	223039446	+	0	NA	Intergenic	Intergenic	-123536	NR_161172	151278	Hs.350729	NM_153038	ENSG00000163081	CCDC140	-	coiled-coil domain containing 140	ncRNA
1-9798	chr17	28618265	28618496	+	0	NA	exon (NM_000386, exon 2 of 12)	exon (NM_000386, exon 2 of 12)	582	NM_000386	642	Hs.371914	NM_000386	ENSG00000108578	BLMH	BH|BMH	bleomycin hydrolase	protein-coding
1-7611	chr12	2229787	2230018	+	0	NA	intron (NM_001167623, intron 3 of 46)	intron (NM_001167623, intron 3 of 46)	67451	NM_001167624	775	Hs.118262	NM_000719	ENSG00000151067	CACNA1C	CACH2|CACN2|CACNL1A1|CCHL1A1|CaV1.2|LQT8|TS|TS. LQT8	calcium voltage-gated channel subunit alpha1 C	protein-coding
1-4785	chr7	42645899	42646130	+	0	NA	Intergenic	Intergenic	100032	NR_110833	101928795	Hs.566753	NR_110833	ENSG00000238284	LINC01448	-	long intergenic non-protein coding RNA 1448	ncRNA
1-609	chr5	78204168	78204399	+	0	NA	intron (NM_000046, intron 4 of 7)	intron (NM_000046, intron 4 of 7)	76850	NM_000046	411	Hs.149103	NM_000046	ENSG00000113273	ARSB	ASB|G4S|MPS6	arylsulfatase B	protein-coding
1-3041	chr8	62084014	62084245	+	0	NA	Intergenic	L4|LINE|RTE	-116400	NM_173519	157807	Hs.591874	NM_173519	ENSG00000177182	CLVS1	C6orf212L|CRALBPL|RLBP1L1	clavesin 1	protein-coding
1-2112	chr10	33270915	33271146	+	0	NA	Intergenic	Intergenic	-23872	NM_002211	3688	Hs.643813	NM_002211	ENSG00000150093	ITGB1	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	integrin subunit beta 1	protein-coding
1-3572	chr19	54370755	54370986	+	0	NA	promoter-TSS (NM_001290191)	promoter-TSS (NM_001290191)	-249	NM_001020819	91663	Hs.380906	NM_138373	ENSG00000179820	MYADM	SB135	myeloid associated differentiation marker	protein-coding
1-10344	chr9	78506272	78506503	+	0	NA	intron (NR_120409, intron 1 of 19)	CpG	798	NM_006200	5125	Hs.368542	NM_006200	ENSG00000099139	PCSK5	PC5|PC6|PC6A|SPC6	proprotein convertase subtilisin/kexin type 5	protein-coding
1-5413	chr6	155334677	155334908	+	0	NA	Intergenic	Intergenic	-76631	NM_012454	26230	Hs.586279	NM_012454	ENSG00000146426	TIAM2	STEF|TIAM-2	T cell lymphoma invasion and metastasis 2	protein-coding
1-7314	chr3	2463226	2463451	+	0	NA	intron (NM_001206955, intron 2 of 23)	intron (NM_001206955, intron 2 of 23)	182825	NM_001206955	152330	Hs.298705	NM_175607	ENSG00000144619	CNTN4	AXCAM|BIG-2	contactin 4	protein-coding
1-8657	chr16	14286512	14286743	+	0	NA	intron (NM_001365411, intron 1 of 14)	intron (NM_001365411, intron 1 of 14)	6084	NM_001365413	57496	Hs.49143	NM_014048	ENSG00000186260	MRTFB	MKL2|MRTF-B|NPD001	myocardin related transcription factor B	protein-coding
1-7252	chr17	7620642	7620873	+	0	NA	promoter-TSS (NM_001303270)	promoter-TSS (NM_001303270)	-305	NM_020877	146754	Hs.367649	NM_020877	ENSG00000183914	DNAH2	DNAHC2|DNHD3	dynein axonemal heavy chain 2	protein-coding
1-2511	chr5	42878751	42878982	+	0	NA	Intergenic	Intergenic	-66688	NM_001085486	6414	Hs.275775	NM_005410	ENSG00000250722	SELENOP	SELP|SEPP|SEPP1|SeP	selenoprotein P	protein-coding
1-4365	chr11	115406409	115406599	+	0	NA	Intergenic	Intergenic	-31371	NM_014333	23705	Hs.370510	NM_014333	ENSG00000182985	CADM1	BL2|IGSF4|IGSF4A|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1	cell adhesion molecule 1	protein-coding
1-2645	chr17	14341915	14342146	+	0	NA	Intergenic	Intergenic	134973	NR_026880	84815	Hs.597458	NM_032729	ENSG00000266709	MGC12916	-	uncharacterized protein MGC12916	ncRNA
1-3151	chr18	20032180	20032411	+	0	NA	Intergenic	Intergenic	-34417	NM_172241	64693	Hs.406709	NM_022663	ENSG00000212710	CTAGE1	CT21.1|CT21.2|CTAGE|CTAGE-1|CTAGE-2	cutaneous T cell lymphoma-associated antigen 1	protein-coding
1-5181	chr9	38023047	38023278	+	0	NA	intron (NM_003028, intron 1 of 5)	intron (NM_003028, intron 1 of 5)	46062	NM_003028	6461	Hs.521482	NM_003028	ENSG00000107338	SHB	bA3J10.2	SH2 domain containing adaptor protein B	protein-coding
1-7375	chr9	4491725	4491956	+	0	NA	intron (NM_004170, intron 1 of 11)	intron (NM_004170, intron 1 of 11)	1372	NM_004170	6505	Hs.444915	NM_004170	ENSG00000106688	SLC1A1	DCBXA|EAAC1|EAAT3|SCZD18	solute carrier family 1 member 1	protein-coding
1-5982	chr6	114063662	114063893	+	0	NA	Intergenic	Intergenic	-92500	NR_125844	101927686	Hs.402044	NR_125844	ENSG00000230943	LINC02541	-	long intergenic non-protein coding RNA 2541	ncRNA
1-3556	chr13	43962954	43963077	+	0	NA	intron (NM_001347963, intron 4 of 15)	intron (NM_001347963, intron 4 of 15)	-59973	NR_120399	100874130	Hs.738887	NR_120399		ENOX1-AS2	-	ENOX1 antisense RNA 2	ncRNA
1-7349	chr6	44187226	44187451	+	0	NA	promoter-TSS (NM_001304462)	promoter-TSS (NM_001304462)	-14	NM_001304465	2030	Hs.25450	NM_004955	ENSG00000112759	SLC29A1	ENT1	solute carrier family 29 member 1 (Augustine blood group)	protein-coding
1-8943	chr1	202044315	202044541	+	0	NA	Intergenic	Intergenic	-47617	NM_004767	9283	Hs.132049	NM_004767	ENSG00000170075	GPR37L1	ET(B)R-LP-2|ETBR-LP-2|ETBRLP2	G protein-coupled receptor 37 like 1	protein-coding
1-6232	chr1	201463635	201463798	+	0	NA	intron (NM_004078, intron 2 of 5)	intron (NM_004078, intron 2 of 5)	1985	NM_001193572	1465	Hs.108080	NM_004078	ENSG00000159176	CSRP1	CRP|CRP1|CSRP|CYRP|D1S181E|HEL-141|HEL-S-286	cysteine and glycine rich protein 1	protein-coding
1-8865	chr13	34216786	34217017	+	0	NA	intron (NM_001243476, intron 3 of 17)	MIRb|SINE|MIR	34030	NM_001243476	90627	Hs.156551	NM_052851	ENSG00000133121	STARD13	ARHGAP37|DLC2|GT650|LINC00464	StAR related lipid transfer domain containing 13	protein-coding
1-470	chr17	70576635	70576866	+	0	NA	intron (NR_137281, intron 1 of 4)	intron (NR_137281, intron 1 of 4)	12193	NR_036488	100499467	Hs.157726	NR_036488	ENSG00000227036	LINC00673	ERRLR01|HI-LNC75|HILNC75|LUCAIR1|SLNCR|SLNCR1	long intergenic non-protein coding RNA 673	ncRNA
1-2921	chr14	82994451	82994682	+	0	NA	Intergenic	Intergenic	-114410	NR_146650	101928599		NR_146650	ENSG00000258743	LINC02301	-	long intergenic non-protein coding RNA 2301	ncRNA
1-9495	chr8	19675432	19675639	+	0	NA	intron (NR_148458, intron 1 of 18)	intron (NR_148458, intron 1 of 18)	608	NM_018142	55174	Hs.512627	NM_018142	ENSG00000104613	INTS10	C8orf35|INT10	integrator complex subunit 10	protein-coding
1-9554	chr14	23835739	23835970	+	0	NA	Intergenic	CpG	-1012	NM_001277174	10278	Hs.24587	NM_005864	ENSG00000100842	EFS	CAS3|CASS3|EFS1|EFS2|HEFS|SIN	embryonal Fyn-associated substrate	protein-coding
1-7979	chr7	120497121	120497340	+	0	NA	intron (NM_012338, intron 1 of 7)	CpG	968	NM_012338	23554	Hs.16529	NM_012338	ENSG00000106025	TSPAN12	EVR5|NET-2|NET2|TM4SF12	tetraspanin 12	protein-coding
1-7272	chr20	52011057	52011277	+	0	NA	intron (NM_173485, intron 2 of 2)	intron (NM_173485, intron 2 of 2)	-158142	NR_110051	101927770		NR_110051		LOC101927770	-	uncharacterized LOC101927770	ncRNA
1-9266	chr8	131250544	131250775	+	0	NA	intron (NM_018482, intron 3 of 29)	intron (NM_018482, intron 3 of 29)	58120	NR_002765	29065	Hs.639318	NR_002765		ASAP1-IT1	ASAP1-IT|ASAP1IT|ASAP1IT1|DDEF1IT1|HSPC054|NCRNA00050	ASAP1 intronic transcript 1	ncRNA
1-2431	chr11	56978283	56978514	+	0	NA	Intergenic	Intergenic	26326	NR_027991	187	Hs.438311	NM_005161	ENSG00000134817	APLNR	AGTRL1|APJ|APJR|HG11	apelin receptor	protein-coding
1-3283	chr11	133396830	133397056	+	0	NA	intron (NM_001012393, intron 1 of 7)	intron (NM_001012393, intron 1 of 7)	5453	NM_001012393	4978	Hs.4817	NM_002545	ENSG00000183715	OPCML	IGLON1|OBCAM|OPCM	opioid binding protein/cell adhesion molecule like	protein-coding
1-1124	chr19	4584904	4585135	+	0	NA	Intergenic	CpG	-25323	NM_032108	10501	Hs.465642	NM_020241	ENSG00000167680	SEMA6B	SEM-SEMA-Y|SEMA-VIB|SEMAN|semaZ	semaphorin 6B	protein-coding
1-8645	chr14	92505759	92505990	+	0	NA	intron (NM_004239, intron 1 of 20)	intron (NM_004239, intron 1 of 20)	529	NM_001321851	9321	Hs.632339	NM_004239	ENSG00000100815	TRIP11	ACG1A|CEV14|GMAP-210|GMAP210|ODCD|TRIP-11|TRIP230	thyroid hormone receptor interactor 11	protein-coding
1-6460	chr6	75679710	75679941	+	0	NA	Intergenic	Intergenic	158673	NR_145788	109623475		NR_145788		SNORD156	-	small nucleolar RNA, C/D box 156	snoRNA
1-8446	chr16	86852610	86852841	+	0	NA	Intergenic	Intergenic	97028	NR_135182	102724344	Hs.585769	NR_135182	ENSG00000261175	LINC02188	-	long intergenic non-protein coding RNA 2188	ncRNA
1-7869	chr19	34767658	34767889	+	0	NA	intron (NM_014686, intron 1 of 13)	L2c|LINE|L2	22314	NM_014686	9710	Hs.330073	NM_014686	ENSG00000166398	KIAA0355	-	KIAA0355	protein-coding
1-6740	chrX	122937506	122937737	+	0	NA	Intergenic	Intergenic	-56041	NM_001204401	331	Hs.356076	NM_001167	ENSG00000101966	XIAP	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	X-linked inhibitor of apoptosis	protein-coding
1-4347	chr8	102773239	102773401	+	0	NA	intron (NM_001040625, intron 4 of 6)	intron (NM_001040625, intron 4 of 6)	29877	NM_032041	83988	Hs.492427	NM_032041	ENSG00000104490	NCALD	-	neurocalcin delta	protein-coding
1-5820	chr5	7048074	7048305	+	0	NA	Intergenic	Intergenic	-220155	NR_036242	100422999		NR_036242	ENSG00000283420	MIR4278	-	microRNA 4278	ncRNA
1-3907	chr1	81872976	81873092	+	0	NA	intron (NM_001366003, intron 2 of 27)	intron (NM_001366003, intron 2 of 27)	100954	NM_001366008	23266	Hs.24212	NM_012302	ENSG00000117114	ADGRL2	CIRL2|CL2|LEC1|LPHH1|LPHN2	adhesion G protein-coupled receptor L2	protein-coding
1-2407	chr2	28492479	28492710	+	0	NA	intron (NM_199194, intron 11 of 12)	intron (NM_199194, intron 11 of 12)	40732	NR_038319	100505716	Hs.679092	NR_038319	ENSG00000223522	LOC100505716	-	uncharacterized LOC100505716	ncRNA
1-1213	chr13	95313285	95313516	+	0	NA	Intergenic	Intergenic	47340	NR_120417	101927248		NR_120417		LOC101927248	-	uncharacterized LOC101927248	ncRNA
1-5002	chr4	122716941	122717172	+	0	NA	Intergenic	LTR3B_|LTR|ERVK	-5422	NM_001034194	5393	Hs.91728	NM_005033	ENSG00000123737	EXOSC9	PCH1D|PM/Scl-75|PMSCL1|RRP45|Rrp45p|p5|p6	exosome component 9	protein-coding
1-6381	chr18	3688607	3688838	+	0	NA	intron (NM_001242763, intron 4 of 10)	intron (NM_001242763, intron 4 of 10)	84987	NR_119377	84777	Hs.659053	NM_032691		DLGAP1-AS2	-	DLGAP1 antisense RNA 2	ncRNA
1-236	chr19	41829591	41829822	+	0	NA	3' UTR (NM_052848, exon 5 of 5)	3' UTR (NM_052848, exon 5 of 5)	13324	NM_001346100	90324	Hs.437497	NM_052848	ENSG00000142039	CCDC97	-	coiled-coil domain containing 97	protein-coding
1-4510	chr1	204053583	204053814	+	0	NA	intron (NM_005686, intron 1 of 13)	intron (NM_005686, intron 1 of 13)	11455	NM_005686	9580	Hs.201671	NM_005686	ENSG00000143842	SOX13	ICA12|Sox-13	SRY-box transcription factor 13	protein-coding
1-6800	chr6	4941971	4942202	+	0	NA	intron (NM_004824, intron 4 of 6)	intron (NM_004824, intron 4 of 6)	51812	NM_001143971	9425	Hs.269092	NM_004824	ENSG00000153046	CDYL	CDYL1	chromodomain Y like	protein-coding
1-3946	chr8	20170740	20170971	+	0	NA	Intergenic	Intergenic	-9381	NM_021020	11178	Hs.521432	NM_021020	ENSG00000061337	LZTS1	F37|FEZ1	leucine zipper tumor suppressor 1	protein-coding
1-6752	chr1	241610615	241610846	+	0	NA	Intergenic	Intergenic	72355	NM_000143	2271	Hs.592490	NM_000143	ENSG00000091483	FH	FMRD|HLRCC|HsFH|LRCC|MCL|MCUL1	fumarate hydratase	protein-coding
1-1053	chr15	73204532	73204763	+	0	NA	Intergenic	Intergenic	-128548	NM_001365223	83440	Hs.562587	NM_031284	ENSG00000159322	ADPGK	2610017G09Rik|ADP-GK	ADP dependent glucokinase	protein-coding
1-8490	chr1	8137351	8137488	+	0	NA	Intergenic	Intergenic	-51050	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding
1-5109	chrX	69698485	69698716	+	0	NA	intron (NM_001166278, intron 1 of 11)	intron (NM_001166278, intron 1 of 11)	-22756	NR_109801	100873930	Hs.571699	NR_046586	ENSG00000231651	DLG3-AS1	-	DLG3 antisense RNA 1	ncRNA
1-10070	chr1	166774379	166774583	+	0	NA	Intergenic	Intergenic	-34231	NM_017542	57645	Hs.432752	NM_017542	ENSG00000143157	POGK	BASS2|KRBOX2|LST003	pogo transposable element derived with KRAB domain	protein-coding
1-10457	chr2	178717164	178717395	+	0	NA	intron (NM_001077197, intron 6 of 20)	intron (NM_001077197, intron 6 of 20)	36204	NM_001077196	50940	Hs.570273	NM_016953	ENSG00000128655	PDE11A	PPNAD2	phosphodiesterase 11A	protein-coding
1-5293	chr7	129429503	129429715	+	0	NA	Intergenic	Intergenic	-14755	NR_029615	406959		NR_029615	ENSG00000207691	MIR183	MIRN183|miR-183|miRNA183	microRNA 183	ncRNA
1-8690	chr19	38925456	38925687	+	0	NA	intron (NM_000540, intron 1 of 105)	intron (NM_000540, intron 1 of 105)	1231	NM_000540	6261	Hs.466664	NM_000540	ENSG00000196218	RYR1	CCO|MHS|MHS1|PPP1R137|RYDR|RYR|RYR-1|SKRR	ryanodine receptor 1	protein-coding
1-9135	chr19	35739343	35739573	+	0	NA	promoter-TSS (NM_015925)	promoter-TSS (NM_015925)	-101	NM_205835	51599	Hs.466507	NM_015925	ENSG00000105699	LSR	ILDR3|LISCH7	lipolysis stimulated lipoprotein receptor	protein-coding
1-4285	chr17	11234305	11234536	+	0	NA	intron (NM_001173461, intron 2 of 3)	intron (NM_001173461, intron 2 of 3)	89680	NM_001173461	388336	Hs.592124	NM_175903	ENSG00000188803	SHISA6	-	shisa family member 6	protein-coding
1-9629	chr1	84569192	84569423	+	0	NA	intron (NM_002731, intron 1 of 9)	MLT1G3|LTR|ERVL-MaLR	25545	NM_207578	5567	Hs.487325	NM_002731	ENSG00000142875	PRKACB	PKA C-beta|PKACB	protein kinase cAMP-activated catalytic subunit beta	protein-coding
1-9239	chr6	112194468	112194699	+	0	NA	promoter-TSS (NM_002037)	promoter-TSS (NM_002037)	72	NM_002037	2534	Hs.390567	NM_002037	ENSG00000010810	FYN	SLK|SYN|p59-FYN	FYN proto-oncogene, Src family tyrosine kinase	protein-coding
1-6490	chr9	128753273	128753504	+	0	NA	Intergenic	L2a|LINE|L2	242926	NM_001134778	5090	Hs.428027	NM_006195	ENSG00000167081	PBX3	-	PBX homeobox 3	protein-coding
1-2060	chr1	180823710	180823902	+	0	NA	intron (NM_004736, intron 11 of 14)	LTR51|LTR|ERV1	-58227	NM_020950	57710	Hs.734816	NM_020950	ENSG00000135835	KIAA1614	-	KIAA1614	protein-coding
1-1095	chr13	24142429	24142660	+	0	NA	Intergenic	Intergenic	-1965	NM_001204459	55504	Hs.149168	NM_018647	ENSG00000127863	TNFRSF19	TAJ|TAJ-alpha|TRADE|TROY	TNF receptor superfamily member 19	protein-coding
1-8923	chr20	25525432	25525663	+	0	NA	intron (NM_025176, intron 1 of 23)	intron (NM_025176, intron 1 of 23)	40620	NM_025176	22981	Hs.631508	NM_025176	ENSG00000101004	NINL	NLP	ninein like	protein-coding
1-7300	chr1	240156673	240156904	+	0	NA	Intergenic	Intergenic	-14036	NR_036695	645884	Hs.613280	NR_036695		RPS7P5	RPS7_2_183	ribosomal protein S7 pseudogene 5	pseudo
1-2547	chr1	209065765	209065996	+	0	NA	Intergenic	Intergenic	-79919	NR_146915	105372894	Hs.98665	NR_146915	ENSG00000236950	LINC01774	-	long intergenic non-protein coding RNA 1774	ncRNA
1-1968	chr2	151652788	151653019	+	0	NA	Intergenic	L1PA8A|LINE|L1	167492	NR_110246	101929282	Hs.126866	NR_110244	ENSG00000224048	LINC02612	-	long intergenic non-protein coding RNA 2612	ncRNA
1-6013	chr12	10989075	10989206	+	0	NA	Intergenic	MER67C|LTR|ERV1	-10272	NM_023921	50839	Hs.533756	NM_023921	ENSG00000121318	TAS2R10	T2R10|TRB2	taste 2 receptor member 10	protein-coding
1-8727	chr1	120060302	120060511	+	0	NA	Intergenic	Intergenic	10573	NM_000862	3283	Hs.364941	NM_000862	ENSG00000203857	HSD3B1	3BETAHSD|HSD3B|HSDB3|HSDB3A|SDR11E1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	protein-coding
1-2062	chr2	197471887	197472118	+	0	NA	Intergenic	Intergenic	-13724	NM_001348768	57520	Hs.633212	NM_020760	ENSG00000138411	HECW2	NDHSAL|NEDL2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	protein-coding
1-4297	chr20	45428768	45428999	+	0	NA	Intergenic	Intergenic	90595	NM_030777	81031	Hs.305971	NM_030777	ENSG00000197496	SLC2A10	ATORS|ATS|GLUT10	solute carrier family 2 member 10	protein-coding
1-7586	chr9	127541753	127541984	+	0	NA	intron (NM_182487, intron 1 of 7)	intron (NM_182487, intron 1 of 7)	2456	NM_182487	169611	Hs.357004	NM_182487	ENSG00000185585	OLFML2A	PRO34319	olfactomedin like 2A	protein-coding
1-525	chr2	129063215	129063446	+	0	NA	intron (NM_004807, intron 1 of 1)	intron (NM_004807, intron 1 of 1)	13112	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
1-2669	chr6	39413136	39413367	+	0	NA	intron (NM_001289021, intron 12 of 21)	intron (NM_001289021, intron 12 of 21)	-14085	NM_001289024	221458	Hs.588202	NM_145027	ENSG00000164627	KIF6	C6orf102|dJ1043E3.1|dJ137F1.4|dJ188D3.1	kinesin family member 6	protein-coding
1-3359	chr20	15538328	15538559	+	0	NA	intron (NM_001351661, intron 8 of 17)	intron (NM_001351661, intron 8 of 17)	360957	NM_001033087	140733	Hs.661576	NM_080676	ENSG00000172264	MACROD2	C20orf133|C2orf133	mono-ADP ribosylhydrolase 2	protein-coding
1-6023	chr14	22804516	22804747	+	0	NA	Intergenic	MLT1H|LTR|ERVL-MaLR	97114	NR_148362	105370401	Hs.435144	NR_148361		LOC105370401	-	uncharacterized LOC105370401	ncRNA
1-2790	chr11	111205609	111205840	+	0	NA	Intergenic	Intergenic	-12758	NR_039712	100616330		NR_039712	ENSG00000264032	MIR4491	mir-4491	microRNA 4491	ncRNA
1-3506	chr1	244211343	244211574	+	0	NA	promoter-TSS (NM_001278196)	promoter-TSS (NM_001278196)	-783	NM_001278196	10472	Hs.69997	NM_006352	ENSG00000179456	ZBTB18	C2H2-171|MRD22|RP58|TAZ-1|ZNF238	zinc finger and BTB domain containing 18	protein-coding
1-6301	chr8	96501439	96501670	+	0	NA	intron (NR_038207, intron 2 of 2)	intron (NR_038207, intron 2 of 2)	-220125	NM_177965	157657	Hs.548157	NM_177965	ENSG00000156172	C8orf37	BBS21|CORD16|RP64|smalltalk	chromosome 8 open reading frame 37	protein-coding
1-9684	chr4	125992066	125992297	+	0	NA	Intergenic	Intergenic	-245386	NM_024582	79633	Hs.563205	NM_024582	ENSG00000196159	FAT4	CDHF14|CDHR11|FAT-J|FATJ|HKLLS2|NBLA00548|VMLDS2	FAT atypical cadherin 4	protein-coding
1-10648	chr5	106894728	106894926	+	0	NA	intron (NM_001962, intron 1 of 4)	intron (NM_001962, intron 1 of 4)	111811	NM_001962	1946	Hs.288741	NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
1-5554	chr10	82449045	82449276	+	0	NA	Intergenic	MIRb|SINE|MIR	39607	NR_155749	105378386	Hs.531456	NR_155749		LINC02655	-	long intergenic non-protein coding RNA 2655	ncRNA
1-7325	chr4	2851160	2851391	+	0	NA	intron (NM_001286645, intron 1 of 17)	intron (NM_001286645, intron 1 of 17)	5398	NM_001286645	118	Hs.183706	NM_001119	ENSG00000087274	ADD1	ADDA	adducin 1	protein-coding
1-1027	chr5	123496944	123497175	+	0	NA	intron (NR_125774, intron 4 of 5)	intron (NR_125774, intron 4 of 5)	277154	NR_125774	103724389	Hs.582211	NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
1-10669	chr8	1019072	1019264	+	0	NA	intron (NM_001346810, intron 2 of 14)	intron (NM_001346810, intron 2 of 14)	-185942	NR_160729	105377777		NR_160729		LOC105377777	-	uncharacterized LOC105377777	ncRNA
1-30	chr14	100029555	100029786	+	0	NA	intron (NM_001144995, intron 1 of 5)	intron (NM_001144995, intron 1 of 5)	40874	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
1-451	chr15	87688117	87688348	+	0	NA	Intergenic	Intergenic	-156575	NR_135683	102724452	Hs.128062	NR_135683	ENSG00000259620	LOC102724452	-	uncharacterized LOC102724452	ncRNA
1-9948	chr9	7328487	7328714	+	0	NA	Intergenic	LTR40a|LTR|ERVL	471178	NM_001318058	90871	Hs.7517	NM_033428	ENSG00000137038	DMAC1	C9orf123|TMEM261	distal membrane arm assembly complex 1	protein-coding
1-4695	chr12	67804569	67804800	+	0	NA	Intergenic	Intergenic	31655	NR_146500	102724433		NR_146500	ENSG00000256172	LINC02420	-	long intergenic non-protein coding RNA 2420	ncRNA
1-10829	chr11	62104725	62104956	+	0	NA	promoter-TSS (NM_025080)	promoter-TSS (NM_025080)	-80	NM_025080	80150	Hs.535326	NM_025080	ENSG00000162174	ASRGL1	ALP|ALP1|CRASH	asparaginase like 1	protein-coding
1-3823	chr1	182256086	182256317	+	0	NA	intron (NR_104175, intron 2 of 2)	intron (NR_104175, intron 2 of 2)	26995	NR_104175	400799	Hs.634884	NR_104175	ENSG00000228918	LINC01344	GS1-122H1.2	long intergenic non-protein coding RNA 1344	ncRNA
1-1960	chr19	6766044	6766272	+	0	NA	intron (NM_005490, intron 1 of 9)	intron (NM_005490, intron 1 of 9)	1288	NM_005490	10045	Hs.439645	NM_005490	ENSG00000125731	SH2D3A	NSP1	SH2 domain containing 3A	protein-coding
1-9981	chr11	118889176	118889407	+	0	NA	promoter-TSS (NM_001318488)	promoter-TSS (NM_001318488)	-185	NM_001318490	51399	Hs.132760	NM_016146	ENSG00000196655	TRAPPC4	CGI-104|HSPC172|PTD009|SBDN|SYNBINDIN|TRS23	trafficking protein particle complex 4	protein-coding
1-777	chrX	39623634	39623865	+	0	NA	Intergenic	Intergenic	-73066	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
1-10287	chr3	35873787	35874018	+	0	NA	Intergenic	Intergenic	87934	NR_029824	406916		NR_029824	ENSG00000207625	MIR128-2	MIR128B|MIRN128-2|MIRN128B|mir-128-2|mir-128b	microRNA 128-2	ncRNA
1-8400	chr10	80300111	80300342	+	0	NA	Intergenic	L2c|LINE|L2	273127	NR_073447	414243	Hs.55047	NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
1-8041	chr14	22957126	22957357	+	0	NA	Intergenic	Intergenic	-5293	NR_148361	105370401	Hs.435144	NR_148361		LOC105370401	-	uncharacterized LOC105370401	ncRNA
1-7276	chr21	29889474	29889637	+	0	NA	Intergenic	MER45R|DNA|hAT-Tip100	-22085	NR_026553	118421	Hs.438549	NR_026552	ENSG00000226935	LINC00161	C21orf100|Linc-USP16|NCRNA00161	long intergenic non-protein coding RNA 161	ncRNA
1-8154	chr3	83574128	83574359	+	0	NA	Intergenic	Intergenic	1344483	NR_033860	440970	Hs.411049	NR_033860	ENSG00000242641	LINC00971	-	long intergenic non-protein coding RNA 971	ncRNA
