	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS									GABBR2 MAPK4																											CHL1 KCNMA1			KCNJ6 MAPK4							
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY							MYBPC2 MYBPC3																																							
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS				ATP1A3 POU2F2				FEV POU2F2 RET SST									LMX1B SNAP25 SSTR2				FEV POU2F2 SST		RET TPH1						CHRNB4 POU2F2 TP73	SNAP25 SST						ATP1A3 FEV MAP2 POU2F2 RET SNAP25	CHRNB4 TP73		KCNH2 NEUROD1 POU2F2			ASCL1 ATP1A3				
WP_SYNAPTIC_SIGNALING_PATHWAYS_ASSOCIATED_WITH_AUTISM_SPECTRUM_DISORDER		AKT3 CAMK2B																			AKT3 CACNA1C															AKT3 CACNA1C										
WP_SYNAPTIC_VESICLE_PATHWAY		SLC18A1 SNAP25 STX1A SYN1			SNAP25 SYN1 SYP			CPLX2 SYP			SLC18A1 STX1A			STX1A STXBP1					STX1A SYN1 SYP																	CACNA1A CPLX2 SLC18A1 SNAP25 STX1A SYP								CPLX2 STXBP1 SYP		
WP_THERMOGENESIS		ACTL6B DPF3	ADCY1 DPF3						ACTL6B ADCY1	ACSL6 ADCY5	ADCY1 ADCY5			ADCY1 MAPK12					ACSL6 ADCY2 CPT1C DPF3			CPT1C DPF3				DPF3 MAPK12																				
WP_THYROID_HORMONES_PRODUCTION_AND_THEIR_PERIPHERAL_DOWNSTREAM_SIGNALLING_EFFECTS		ACTL6B AKT3																			AKT3 NPY																									
WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY		AKT3 SPP1																								MAPK12 SPP1										AKT3 MAPK10 MAPK12 SPP1										
WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS																																				AKT3 MAPK10										
WP_TUMOR_SUPPRESSOR_ACTIVITY_OF_SMARCB1		ACTL6B DPF3							ACTL6B PTCH1																																					
WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA					ARNT2 CADM2																			ARNT2 CADM2																						
WP_VEGFAVEGFR2_SIGNALING_PATHWAY																		FLT1 FUT1																												
WP_VIRAL_ACUTE_MYOCARDITIS											BCL2 SGCD																																			
WP_VITAMIN_A_AND_CAROTENOID_METABOLISM																					LRAT RBP1																									
WP_VITAMIN_DSENSITIVE_CALCIUM_SIGNALING_IN_DEPRESSION								CACNA1C SLC8A1																				BCL2 ITPR1																		
WP_VITAMIN_D_RECEPTOR_PATHWAY		IGSF9B MX2 SLC8A1 SPP1										MX2 PTHLH			CD200 MX2							IGSF9B PTHLH SFRP1												ID4 MX2 SPP1					ID4 IGSF9B S100G				MX2 SLC8A1			
WP_WNT_SIGNALING		CAMK2B PRKCG							CXXC4 NKD1													NKD1 SFRP1																								
WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	PRKCG PRKCH																				NKD1 PRKCH	MAPK10 NKD1																								
